日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300643,万通智控,,10.45,9.99,10.04,0.4,3.9841,2298000,23619673.0
2021-02-18,'300643,万通智控,,10.19,9.6,9.55,0.49,5.1309,3136100,31338417.0
2021-02-10,'300643,万通智控,,9.82,9.6,9.58,-0.03,-0.3132,2131800,20488759.0
2021-02-09,'300643,万通智控,,9.67,9.6,9.43,0.15,1.5907,2175693,20725785.01
2021-02-08,'300643,万通智控,,9.84,9.81,9.85,-0.42,-4.264,2071600,19725406.0
2021-02-05,'300643,万通智控,,10.3,10.14,10.06,-0.21,-2.0875,2543100,25441639.0
2021-02-04,'300643,万通智控,,10.52,10.35,10.41,-0.35,-3.3622,3406701,34515688.17
2021-02-03,'300643,万通智控,,11.05,10.93,11.19,-0.78,-6.9705,5325901,57014279.72
2021-02-02,'300643,万通智控,,11.8,10.33,10.49,0.7,6.673,7452101,82435775.86
2021-02-01,'300643,万通智控,,10.6,10.45,10.37,0.12,1.1572,1883100,19628873.0
2021-01-29,'300643,万通智控,,10.55,10.47,10.4,-0.03,-0.2885,2518893,25983742.83
2021-01-28,'300643,万通智控,,10.84,10.4,10.59,-0.19,-1.7941,2208600,23300133.0
2021-01-27,'300643,万通智控,,10.72,10.43,10.73,-0.14,-1.3048,2200000,23294318.0
2021-01-26,'300643,万通智控,,11.25,10.99,10.59,0.14,1.322,3523900,38401390.0
2021-01-25,'300643,万通智控,,11.04,10.9,11.04,-0.45,-4.0761,3104300,33361707.0
2021-01-22,'300643,万通智控,,11.45,11.25,11.33,-0.29,-2.5596,3310100,36897282.0
2021-01-21,'300643,万通智控,,11.68,11.33,11.6,-0.27,-2.3276,4554400,51800285.0
2021-01-20,'300643,万通智控,,12.1,10.93,10.99,0.61,5.5505,6794293,79224410.36
2021-01-19,'300643,万通智控,,11.24,10.96,10.97,0.02,0.1823,3920336,43431180.7
2021-01-18,'300643,万通智控,,11.08,10.58,10.49,0.48,4.5758,4390010,47531738.81
2021-01-15,'300643,万通智控,,10.54,10.05,10.11,0.38,3.7587,3959300,41092298.0
2021-01-14,'300643,万通智控,,10.2,10.16,10.02,0.09,0.8982,2697400,27082906.0
2021-01-13,'300643,万通智控,,10.38,10.31,10.39,-0.37,-3.5611,3946800,39761977.0
2021-01-12,'300643,万通智控,,10.88,10.29,10.37,0.02,0.1929,3073525,32336584.75
2021-01-11,'300643,万通智控,,11.0,10.86,10.93,-0.56,-5.1235,5134825,54209299.5
2021-01-08,'300643,万通智控,,11.22,10.9,10.9,0.03,0.2752,4971076,53724117.09
2021-01-07,'300643,万通智控,,11.64,11.64,11.68,-0.78,-6.6781,5850200,64949454.0
2021-01-06,'300643,万通智控,,12.6,12.6,12.49,-0.81,-6.4852,5884600,70113431.0
2021-01-05,'300643,万通智控,,12.91,12.91,12.88,-0.39,-3.028,4057700,50991521.0
2021-01-04,'300643,万通智控,,13.08,12.76,12.7,0.18,1.4173,2486300,32083327.0
2020-12-31,'300643,万通智控,,13.0,12.8,12.73,-0.03,-0.2357,2395000,30649610.0
2020-12-30,'300643,万通智控,,12.85,12.66,12.76,-0.03,-0.2351,1934800,24623853.0
2020-12-29,'300643,万通智控,,13.1,13.1,12.76,0.0,0.0,1814500,23265055.0
2020-12-28,'300643,万通智控,,13.3,13.3,13.11,-0.35,-2.6697,2696800,34622076.0
2020-12-25,'300643,万通智控,,13.35,12.44,12.49,0.62,4.964,4163500,54162408.0
2020-12-24,'300643,万通智控,,13.47,13.3,13.29,-0.8,-6.0196,4846993,62074900.35
2020-12-23,'300643,万通智控,,13.79,13.47,13.5,-0.21,-1.5556,2936000,39566905.0
2020-12-22,'300643,万通智控,,14.17,14.17,14.18,-0.68,-4.7955,3726493,51317351.91
2020-12-21,'300643,万通智控,,14.35,13.85,13.79,0.39,2.8281,3882525,54619216.0
2020-12-18,'300643,万通智控,,13.98,13.71,13.86,-0.07,-0.5051,2766400,38335330.0
2020-12-17,'300643,万通智控,,13.9,13.68,13.56,0.3,2.2124,3372425,46029033.74
2020-12-16,'300643,万通智控,,13.9,13.9,13.86,-0.3,-2.1645,2476193,33632391.43
2020-12-15,'300643,万通智控,,13.89,13.62,13.6,0.26,1.9118,2726593,37539153.08
2020-12-14,'300643,万通智控,,13.64,13.18,13.31,0.29,2.1788,2561700,34500287.0
2020-12-11,'300643,万通智控,,13.9,13.67,13.68,-0.37,-2.7047,2998711,40187557.95
2020-12-10,'300643,万通智控,,13.78,13.51,13.63,0.05,0.3668,2541800,34636581.0
2020-12-09,'300643,万通智控,,14.3,14.26,14.26,-0.63,-4.418,4214488,58534122.0
2020-12-08,'300643,万通智控,,14.45,14.1,14.07,0.19,1.3504,3825800,54642362.0
2020-12-07,'300643,万通智控,,14.48,14.48,14.4,-0.33,-2.2917,3125100,44367286.0
2020-12-04,'300643,万通智控,,14.8,14.65,14.78,-0.38,-2.571,4400293,63724580.57
2020-12-03,'300643,万通智控,,14.96,14.73,14.75,0.03,0.2034,5215800,76389733.0
2020-12-02,'300643,万通智控,,14.98,14.89,15.0,-0.25,-1.6667,3957500,58633635.0
2020-12-01,'300643,万通智控,,15.14,14.84,14.58,0.42,2.8807,5566300,83015656.0
2020-11-30,'300643,万通智控,,15.15,15.13,14.99,-0.41,-2.7352,5746100,84728463.0
