»’∆⁄,π…∆±¥˙¬Î,√˚≥∆,TCLOSW,◊Ó∏ﬂº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,≥…Ωª¡ø,≥…ΩªΩ∂Ó
2021-02-19,'300415,“¡÷Æ√‹,,18.89,18.83,19.12,-1.2,-6.2762,18336995,334388863.16
2021-02-18,'300415,“¡÷Æ√‹,,19.16,18.2,17.81,1.31,7.3554,18559233,347717834.8
2021-02-10,'300415,“¡÷Æ√‹,,18.22,17.88,18.2,-0.39,-2.1429,12328407,218688631.46
2021-02-09,'300415,“¡÷Æ√‹,,18.48,17.54,17.45,0.75,4.298,17313009,312274910.25
2021-02-08,'300415,“¡÷Æ√‹,,17.66,17.37,17.39,0.06,0.345,16082040,275130747.25
2021-02-05,'300415,“¡÷Æ√‹,,18.47,17.9,17.9,-0.51,-2.8492,17331018,308076175.6
2021-02-04,'300415,“¡÷Æ√‹,,18.58,17.9,18.1,-0.2,-1.105,24086787,429775937.42
2021-02-03,'300415,“¡÷Æ√‹,,18.1,16.4,16.76,1.34,7.9952,25471587,446636907.35
2021-02-02,'300415,“¡÷Æ√‹,,17.33,16.52,16.5,0.26,1.5758,22064702,371580114.43
2021-02-01,'300415,“¡÷Æ√‹,,16.54,15.14,15.23,1.27,8.3388,17145041,272396221.32
2021-01-29,'300415,“¡÷Æ√‹,,15.63,15.03,15.03,0.2,1.3307,9924015,150810793.5
2021-01-28,'300415,“¡÷Æ√‹,,16.05,14.98,15.35,-0.32,-2.0847,10351769,159630890.35
2021-01-27,'300415,“¡÷Æ√‹,,15.77,15.33,15.55,-0.2,-1.2862,10871269,165831823.14
2021-01-26,'300415,“¡÷Æ√‹,,16.57,15.45,15.68,-0.13,-0.8291,14945388,237891538.77
2021-01-25,'300415,“¡÷Æ√‹,,16.18,15.6,15.69,-0.01,-0.0637,11785176,186439391.74
2021-01-22,'300415,“¡÷Æ√‹,,16.32,15.91,16.11,-0.42,-2.6071,13311722,210558342.95
2021-01-21,'300415,“¡÷Æ√‹,,16.62,16.1,16.02,0.09,0.5618,20399344,331476239.87
2021-01-20,'300415,“¡÷Æ√‹,,16.68,13.98,13.9,2.12,15.2518,35060124,545995035.66
2021-01-19,'300415,“¡÷Æ√‹,,14.46,13.97,14.32,-0.42,-2.933,13289254,187697555.09
2021-01-18,'300415,“¡÷Æ√‹,,15.05,15.05,15.05,-0.73,-4.8505,23912656,337368350.94
2021-01-15,'300415,“¡÷Æ√‹,,15.08,14.35,14.43,0.62,4.2966,15168182,222166402.56
2021-01-14,'300415,“¡÷Æ√‹,,14.68,14.6,14.58,-0.15,-1.0288,12048902,173094127.82
2021-01-13,'300415,“¡÷Æ√‹,,14.6,13.6,13.65,0.93,6.8132,16588115,236917175.01
2021-01-12,'300415,“¡÷Æ√‹,,13.74,13.48,13.6,0.05,0.3676,8582896,115340875.33
2021-01-11,'300415,“¡÷Æ√‹,,13.76,13.32,13.37,0.23,1.7203,8357260,112141468.9
2021-01-08,'300415,“¡÷Æ√‹,,13.88,13.86,14.22,-0.85,-5.9775,12816294,171171405.18
2021-01-07,'300415,“¡÷Æ√‹,,14.58,14.05,13.84,0.38,2.7457,13917171,198652449.5
