日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300179,四方达,,5.11,4.93,4.91,0.17,3.4623,9818370,49260513.06
2021-02-18,'300179,四方达,,5.06,4.72,4.6,0.31,6.7391,13897900,67995366.0
2021-02-10,'300179,四方达,,4.71,4.54,4.53,0.07,1.5453,9108000,42049589.0
2021-02-09,'300179,四方达,,4.58,4.41,4.45,0.08,1.7978,9716928,43661470.28
2021-02-08,'300179,四方达,,4.66,4.51,4.53,-0.08,-1.766,9490600,42857673.0
2021-02-05,'300179,四方达,,4.84,4.69,4.66,-0.13,-2.7897,8704300,40226488.0
2021-02-04,'300179,四方达,,4.82,4.8,4.78,-0.12,-2.5105,7034600,32979906.0
2021-02-03,'300179,四方达,,5.02,5.01,5.01,-0.23,-4.5908,8165400,39820934.0
2021-02-02,'300179,四方达,,5.09,4.95,5.02,-0.01,-0.1992,8045200,40149075.0
2021-02-01,'300179,四方达,,5.06,5.0,4.98,0.04,0.8032,6937700,34684197.0
2021-01-29,'300179,四方达,,5.2,5.2,5.1,-0.12,-2.3529,11874955,59543716.35
2021-01-28,'300179,四方达,,5.29,5.12,5.15,-0.05,-0.9709,10013801,51822573.15
2021-01-27,'300179,四方达,,5.35,5.32,5.33,-0.18,-3.3771,11005853,57467303.48
2021-01-26,'300179,四方达,,5.54,5.45,5.48,-0.15,-2.7372,10473955,56385739.9
2021-01-25,'300179,四方达,,5.62,5.57,5.63,-0.15,-2.6643,11148400,61462371.0
2021-01-22,'300179,四方达,,5.79,5.67,5.72,-0.09,-1.5734,10229400,58261817.8
2021-01-21,'300179,四方达,,5.86,5.79,5.82,-0.1,-1.7182,11722620,67686632.6
2021-01-20,'300179,四方达,,5.86,5.77,5.75,0.07,1.2174,12979149,74661345.68
2021-01-19,'300179,四方达,,5.85,5.61,5.68,0.07,1.2324,14282404,81629529.4
2021-01-18,'300179,四方达,,5.76,5.5,5.44,0.24,4.4118,15312904,86456939.24
2021-01-15,'300179,四方达,,5.5,5.18,5.21,0.23,4.4146,14031404,75408808.0
2021-01-14,'300179,四方达,,5.34,5.27,5.27,-0.06,-1.1385,10903900,56906754.0
2021-01-13,'300179,四方达,,5.6,5.6,5.55,-0.28,-5.045,13783700,73956036.0
2021-01-12,'300179,四方达,,5.83,5.58,5.53,0.02,0.3617,15267409,85997844.67
2021-01-11,'300179,四方达,,5.83,5.83,5.85,-0.32,-5.4701,17128902,96076537.45
2021-01-08,'300179,四方达,,5.9,5.72,5.71,0.14,2.4518,18370951,105578141.99
2021-01-07,'300179,四方达,,6.02,5.95,5.96,-0.25,-4.1946,19510531,113064748.3
2021-01-06,'300179,四方达,,6.24,6.18,6.25,-0.29,-4.64,17359042,104577831.88
2021-01-05,'300179,四方达,,6.44,6.42,6.45,-0.2,-3.1008,13546445,85288941.27
2021-01-04,'300179,四方达,,6.52,6.31,6.37,0.08,1.2559,13192602,84839312.88
2020-12-31,'300179,四方达,,6.57,6.43,6.33,0.04,0.6319,14305782,91752542.68
2020-12-30,'300179,四方达,,6.43,6.35,6.3,0.03,0.4762,11244239,71187061.83
2020-12-29,'300179,四方达,,6.5,6.36,6.27,0.03,0.4785,11177420,71233719.18
2020-12-28,'300179,四方达,,6.59,6.58,6.6,-0.33,-5.0,16530011,104964297.86
2020-12-25,'300179,四方达,,6.63,6.5,6.55,0.05,0.7634,11852476,77521106.84
