日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300799,左江科技,,43.49,42.24,42.27,1.08,2.555,689850,29581018.5
2021-02-18,'300799,左江科技,,42.88,42.0,40.97,1.3,3.1731,868800,36787722.5
2021-02-10,'300799,左江科技,,41.34,40.31,40.6,0.37,0.9113,570050,23272918.0
2021-02-09,'300799,左江科技,,41.41,39.86,39.61,0.99,2.4994,711100,28740805.0
2021-02-08,'300799,左江科技,,40.94,40.0,39.75,-0.14,-0.3522,535100,21303233.0
2021-02-05,'300799,左江科技,,41.48,40.04,40.02,-0.27,-0.6747,712850,28867530.0
2021-02-04,'300799,左江科技,,41.6,41.5,41.49,-1.47,-3.543,958150,38656884.5
2021-02-03,'300799,左江科技,,43.35,42.27,42.93,-1.44,-3.3543,911750,38507762.5
2021-02-02,'300799,左江科技,,44.85,44.85,44.19,-1.26,-2.8513,810322,35239493.0
2021-02-01,'300799,左江科技,,45.16,43.9,44.18,0.01,0.0226,608200,26857889.7
2021-01-29,'300799,左江科技,,46.49,46.15,46.1,-1.92,-4.1649,905183,40792383.8
2021-01-28,'300799,左江科技,,47.88,46.8,47.29,-1.19,-2.5164,554350,26101309.5
2021-01-27,'300799,左江科技,,47.92,47.11,47.54,-0.25,-0.5259,456700,21644984.5
2021-01-26,'300799,左江科技,,48.56,47.07,47.07,0.47,0.9985,665128,31701768.41
2021-01-25,'300799,左江科技,,49.58,49.58,49.6,-2.53,-5.1008,1020652,48680015.98
2021-01-22,'300799,左江科技,,51.29,51.29,51.29,-1.69,-3.295,969885,48138967.25
2021-01-21,'300799,左江科技,,51.5,50.5,50.65,0.64,1.2636,682551,34760337.91
2021-01-20,'300799,左江科技,,51.4,50.59,51.0,-0.35,-0.6863,609000,30866226.5
2021-01-19,'300799,左江科技,,51.78,51.05,51.05,-0.05,-0.0979,575700,29391395.0
2021-01-18,'300799,左江科技,,52.08,50.49,50.08,0.97,1.9369,877700,45069325.0
2021-01-15,'300799,左江科技,,50.6,49.3,49.5,0.58,1.1717,960702,48055085.22
2021-01-14,'300799,左江科技,,50.6,49.2,49.6,-0.1,-0.2016,1371600,67836691.5
