日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300916,朗特智能,,100.7,99.47,99.13,1.5,1.5132,1201096,117038027.72
2021-02-18,'300916,朗特智能,,100.6,98.5,98.18,0.95,0.9676,1031523,102141696.0
2021-02-10,'300916,朗特智能,,100.78,96.67,94.35,3.83,4.0594,1081485,106260639.49
2021-02-09,'300916,朗特智能,,96.22,92.89,92.63,1.72,1.8568,964330,90986803.18
2021-02-08,'300916,朗特智能,,100.67,98.31,99.88,-7.25,-7.2587,1320924,124756752.59
2021-02-05,'300916,朗特智能,,108.43,107.55,108.78,-8.9,-8.1817,1798831,185538939.68
2021-02-04,'300916,朗特智能,,114.66,104.5,105.32,3.46,3.2852,2430320,267106657.01
2021-02-03,'300916,朗特智能,,109.98,100.16,100.33,4.99,4.9736,2092633,220816227.46
2021-02-02,'300916,朗特智能,,102.46,100.0,100.03,0.3,0.2999,1167686,116855864.16
2021-02-01,'300916,朗特智能,,101.0,92.74,94.0,6.03,6.4149,1285329,125974441.95
2021-01-29,'300916,朗特智能,,96.69,95.71,94.5,-0.5,-0.5291,775620,72826100.53
2021-01-28,'300916,朗特智能,,99.98,97.07,97.07,-2.57,-2.6476,796816,77613290.56
2021-01-27,'300916,朗特智能,,98.51,96.9,97.55,-0.48,-0.4921,571083,55363012.54
2021-01-26,'300916,朗特智能,,101.2,97.0,97.43,0.12,0.1232,759695,74998899.0
2021-01-25,'300916,朗特智能,,101.77,100.48,101.5,-4.07,-4.0099,1046093,101316204.54
2021-01-22,'300916,朗特智能,,104.88,99.41,100.66,0.84,0.8345,1048398,107144506.18
2021-01-21,'300916,朗特智能,,105.1,105.1,102.35,-1.69,-1.6512,1123172,114494842.26
2021-01-20,'300916,朗特智能,,103.77,101.48,101.49,0.86,0.8474,1096582,111036776.3
2021-01-19,'300916,朗特智能,,105.2,100.65,100.64,0.85,0.8446,1474473,151606098.83
2021-01-18,'300916,朗特智能,,105.88,102.84,102.7,-2.06,-2.0058,1492201,152383427.03
2021-01-15,'300916,朗特智能,,106.24,92.59,92.9,9.8,10.549,1985832,201288835.72
2021-01-14,'300916,朗特智能,,95.23,89.37,90.16,2.74,3.039,1348983,125375784.82
2021-01-13,'300916,朗特智能,,96.5,95.08,96.19,-6.03,-6.2688,1462578,134803554.16
2021-01-12,'300916,朗特智能,,100.57,99.58,98.9,-2.71,-2.7401,1076279,105641087.1
2021-01-11,'300916,朗特智能,,103.77,101.99,103.02,-4.12,-3.9992,960625,96461935.22
2021-01-08,'300916,朗特智能,,103.86,100.98,102.09,0.93,0.911,1196347,120437318.02
2021-01-07,'300916,朗特智能,,107.97,107.51,109.21,-7.12,-6.5195,1524631,158464483.88
2021-01-06,'300916,朗特智能,,113.99,110.92,112.0,-2.79,-2.4911,1253880,139231929.04
2021-01-05,'300916,朗特智能,,114.96,109.99,110.48,1.52,1.3758,1644314,184971614.69
2021-01-04,'300916,朗特智能,,113.91,105.01,105.3,5.18,4.9193,1543084,170168441.75
2020-12-31,'300916,朗特智能,,108.98,104.89,105.5,-0.2,-0.1896,1157703,123326907.33
2020-12-30,'300916,朗特智能,,108.66,103.36,103.35,2.15,2.0803,1440013,150926920.74
2020-12-29,'300916,朗特智能,,110.98,110.98,111.7,-8.35,-7.4754,1845237,192599562.32
2020-12-28,'300916,朗特智能,,118.58,116.7,118.63,-6.93,-5.8417,1528502,175974432.63
2020-12-25,'300916,朗特智能,,125.84,122.0,122.89,-4.26,-3.4665,1663226,201461228.05
2020-12-24,'300916,朗特智能,,124.83,117.18,118.16,4.73,4.003,2276415,274112297.94
2020-12-23,'300916,朗特智能,,119.8,116.01,117.0,1.16,0.9915,1827918,214803633.12
2020-12-22,'300916,朗特智能,,124.9,124.9,126.4,-9.4,-7.4367,2344963,280156860.17
2020-12-21,'300916,朗特智能,,129.8,125.01,126.49,-0.09,-0.0712,2467088,311982792.87
2020-12-18,'300916,朗特智能,,135.95,135.0,136.92,-10.43,-7.6176,3900811,508504761.48
2020-12-17,'300916,朗特智能,,136.92,113.33,114.1,22.82,20.0,4570631,591542020.93
2020-12-16,'300916,朗特智能,,116.96,115.21,116.95,-2.85,-2.4369,1226033,141201227.17
2020-12-15,'300916,朗特智能,,120.25,115.0,115.9,1.05,0.906,1687870,197431289.5
2020-12-14,'300916,朗特智能,,117.5,114.6,115.21,0.69,0.5989,1115922,129000713.57
2020-12-11,'300916,朗特智能,,122.3,120.03,121.19,-5.98,-4.9344,1775609,209026579.64
2020-12-10,'300916,朗特智能,,127.18,127.01,130.19,-9.0,-6.913,2292075,283696130.15
2020-12-09,'300916,朗特智能,,134.95,127.3,128.57,1.62,1.26,2681180,346979426.5
2020-12-08,'300916,C朗特,,131.34,129.9,129.51,-0.94,-0.7258,1862157,241871956.67
2020-12-07,'300916,C朗特,,132.45,131.31,132.31,-2.8,-2.1162,2097098,272367432.49
2020-12-04,'300916,C朗特,,139.3,135.04,137.32,-5.01,-3.6484,3153011,422618499.55
2020-12-03,'300916,C朗特,,152.0,152.0,164.85,-27.53,-16.7,5110318,734180372.14
2020-12-02,'300916,N朗特,,186.0,186.0,56.52,108.33,191.6667,6739245,1166344390.1
