日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300745,欣锐科技,,15.84,15.35,15.28,0.45,2.945,873500,13623559.0
2021-02-18,'300745,欣锐科技,,15.38,15.0,14.82,0.46,3.1039,1074751,16396686.98
2021-02-10,'300745,欣锐科技,,15.37,15.37,14.78,0.04,0.2706,565100,8415518.0
2021-02-09,'300745,欣锐科技,,14.96,14.46,14.49,0.29,2.0014,890800,13068502.3
2021-02-08,'300745,欣锐科技,,15.44,14.72,14.75,-0.26,-1.7627,908900,13224365.0
2021-02-05,'300745,欣锐科技,,15.55,15.2,15.03,-0.28,-1.8629,1270700,19243996.0
2021-02-04,'300745,欣锐科技,,15.87,15.47,15.54,-0.51,-3.2819,1546000,23291451.0
2021-02-03,'300745,欣锐科技,,16.69,16.69,16.74,-1.2,-7.1685,2347404,37401436.56
2021-02-02,'300745,欣锐科技,,17.15,16.46,16.72,0.02,0.1196,1113006,18701982.98
2021-02-01,'300745,欣锐科技,,16.92,16.23,16.23,0.49,3.0191,1025399,17030036.42
2021-01-29,'300745,欣锐科技,,16.98,16.83,17.02,-0.79,-4.6416,1480599,24337658.92
2021-01-28,'300745,欣锐科技,,17.56,16.89,17.19,-0.17,-0.9889,976115,16818361.7
2021-01-27,'300745,欣锐科技,,17.46,16.81,17.07,0.12,0.703,865100,14851216.0
2021-01-26,'300745,欣锐科技,,17.8,17.42,17.46,-0.39,-2.2337,882601,15314766.99
2021-01-25,'300745,欣锐科技,,18.3,18.0,18.07,-0.61,-3.3758,1193600,21046003.98
2021-01-22,'300745,欣锐科技,,18.32,17.63,17.86,0.21,1.1758,1775500,31738000.0
2021-01-21,'300745,欣锐科技,,18.39,17.74,17.99,-0.13,-0.7226,1515000,27337050.0
2021-01-20,'300745,欣锐科技,,18.66,18.35,17.85,0.14,0.7843,2055900,37614981.0
2021-01-19,'300745,欣锐科技,,17.95,17.4,17.51,0.34,1.9417,1334900,23639874.0
2021-01-18,'300745,欣锐科技,,18.0,17.65,17.18,0.33,1.9208,1388300,24385573.0
2021-01-15,'300745,欣锐科技,,17.39,16.65,16.63,0.55,3.3073,1138700,19433102.0
2021-01-14,'300745,欣锐科技,,16.95,16.7,16.72,-0.09,-0.5383,1282400,21295001.0
2021-01-13,'300745,欣锐科技,,17.54,17.37,17.37,-0.65,-3.7421,1717500,29051500.0
2021-01-12,'300745,欣锐科技,,17.78,17.24,17.24,0.13,0.7541,1262800,22076193.0
2021-01-11,'300745,欣锐科技,,17.99,17.74,17.73,-0.49,-2.7637,1998700,35003266.0
2021-01-08,'300745,欣锐科技,,18.14,17.7,17.73,0.0,0.0,2161801,38254177.4
2021-01-07,'300745,欣锐科技,,19.06,19.06,19.03,-1.3,-6.8313,3260253,59058660.1
2021-01-06,'300745,欣锐科技,,19.73,19.65,19.66,-0.63,-3.2045,2467304,47216372.8
2021-01-05,'300745,欣锐科技,,20.05,19.92,19.97,-0.31,-1.5523,1965641,38728904.26
2021-01-04,'300745,欣锐科技,,20.5,19.96,19.95,0.02,0.1003,1593500,31923397.0
2020-12-31,'300745,欣锐科技,,20.17,19.5,19.4,0.55,2.8351,1531986,30294899.4
2020-12-30,'300745,欣锐科技,,20.08,19.77,19.77,-0.37,-1.8715,1765400,34675394.0
2020-12-29,'300745,欣锐科技,,20.33,19.84,19.84,-0.07,-0.3528,1525800,30471765.0
2020-12-28,'300745,欣锐科技,,20.84,20.71,20.71,-0.87,-4.2009,2025000,40461660.0
2020-12-25,'300745,欣锐科技,,20.83,20.41,20.56,0.15,0.7296,1425500,29307512.0
2020-12-24,'300745,欣锐科技,,21.08,21.0,21.08,-0.52,-2.4668,2015400,41611581.0
