日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300351,永贵电器,,8.98,8.85,8.87,0.01,0.1127,2878100,25536670.0
2021-02-18,'300351,永贵电器,,8.88,8.82,8.83,0.04,0.453,2087722,18312623.42
2021-02-10,'300351,永贵电器,,8.85,8.45,8.49,0.34,4.0047,3354300,29236402.68
2021-02-09,'300351,永贵电器,,8.68,8.0,8.03,0.46,5.7285,3300907,27490479.52
2021-02-08,'300351,永贵电器,,8.08,7.88,7.96,0.07,0.8794,2295388,18212998.0
2021-02-05,'300351,永贵电器,,8.04,7.88,7.88,0.08,1.0152,1749401,13742785.76
2021-02-04,'300351,永贵电器,,8.31,8.31,8.31,-0.43,-5.1745,2120100,17000118.14
2021-02-03,'300351,永贵电器,,8.46,8.31,8.45,-0.14,-1.6568,1241001,10306986.32
2021-02-02,'300351,永贵电器,,8.5,8.4,8.37,0.08,0.9558,1996100,16684784.0
2021-02-01,'300351,永贵电器,,8.47,8.24,8.26,0.11,1.3317,1576000,13065794.0
2021-01-29,'300351,永贵电器,,8.38,8.31,8.26,0.0,0.0,1578002,12902304.34
2021-01-28,'300351,永贵电器,,8.45,8.3,8.45,-0.19,-2.2485,2033540,16893911.4
2021-01-27,'300351,永贵电器,,8.59,8.59,8.59,-0.14,-1.6298,1923831,16225991.83
2021-01-26,'300351,永贵电器,,8.79,8.75,8.88,-0.29,-3.2658,2656188,22915556.32
2021-01-25,'300351,永贵电器,,9.13,9.13,9.11,-0.23,-2.5247,3020922,26697141.04
2021-01-22,'300351,永贵电器,,9.25,9.25,9.31,-0.2,-2.1482,2929522,26700544.5
2021-01-21,'300351,永贵电器,,9.35,9.24,9.3,0.01,0.1075,2214160,20504972.4
2021-01-20,'300351,永贵电器,,9.48,9.32,9.31,-0.01,-0.1074,2186723,20422989.8
2021-01-19,'300351,永贵电器,,9.42,9.35,9.36,-0.05,-0.5342,1769111,16489244.61
2021-01-18,'300351,永贵电器,,9.38,9.21,9.27,0.09,0.9709,1543021,14413703.93
2021-01-15,'300351,永贵电器,,9.31,9.29,9.31,-0.04,-0.4296,1828620,16891615.2
2021-01-14,'300351,永贵电器,,9.37,9.09,9.22,0.09,0.9761,2563520,23694372.6
2021-01-13,'300351,永贵电器,,9.43,9.29,9.4,-0.18,-1.9149,2605100,23996012.0
2021-01-12,'300351,永贵电器,,9.43,9.26,9.26,0.14,1.5119,2119810,19729076.3
2021-01-11,'300351,永贵电器,,9.48,9.48,9.46,-0.2,-2.1142,2903700,26905038.0
2021-01-08,'300351,永贵电器,,9.57,9.46,9.69,-0.23,-2.3736,2416700,22812675.0
2021-01-07,'300351,永贵电器,,9.7,9.66,9.91,-0.22,-2.22,5169376,49228822.97
2021-01-06,'300351,永贵电器,,10.48,10.36,9.91,0.0,0.0,7126729,72497691.48
2021-01-05,'300351,永贵电器,,10.05,9.55,9.57,0.34,3.5528,5135200,50064439.22
2021-01-04,'300351,永贵电器,,9.82,9.4,9.38,0.19,2.0256,3104520,29654823.6
2020-12-31,'300351,永贵电器,,9.45,9.34,9.36,0.02,0.2137,4228017,39216101.16
2020-12-30,'300351,永贵电器,,9.49,9.33,9.44,-0.08,-0.8475,1274878,11981582.64
2020-12-29,'300351,永贵电器,,9.46,9.37,9.35,0.09,0.9626,1518800,14131733.0
2020-12-28,'300351,永贵电器,,9.71,9.71,9.66,-0.31,-3.2091,2999266,27885754.69
2020-12-25,'300351,永贵电器,,9.76,9.66,9.72,-0.06,-0.6173,1314200,12706454.0
2020-12-24,'300351,永贵电器,,9.95,9.85,9.9,-0.18,-1.8182,1235600,12097514.0
2020-12-23,'300351,永贵电器,,9.97,9.55,9.89,0.01,0.1011,1818745,17918660.75
2020-12-22,'300351,永贵电器,,10.02,10.0,9.95,-0.06,-0.603,1815500,17995262.0
2020-12-21,'300351,永贵电器,,10.11,9.75,9.77,0.18,1.8424,3640642,36273213.22
2020-12-18,'300351,永贵电器,,9.85,9.81,9.82,-0.05,-0.5092,1651187,16061406.25
2020-12-17,'300351,永贵电器,,9.96,9.83,9.95,-0.13,-1.3065,5203521,50005026.85
2020-12-16,'300351,永贵电器,,10.09,10.05,10.09,-0.14,-1.3875,2123900,21157376.0
2020-12-15,'300351,永贵电器,,10.12,10.05,10.09,0.0,0.0,1418700,14166733.0
2020-12-14,'300351,永贵电器,,10.2,10.2,10.09,0.0,0.0,2290986,23074318.0
2020-12-11,'300351,永贵电器,,10.21,10.15,10.15,-0.06,-0.5911,3747000,37635901.0
2020-12-10,'300351,永贵电器,,10.4,10.38,10.42,-0.27,-2.5912,3319100,33749388.0
2020-12-09,'300351,永贵电器,,10.64,10.36,10.44,-0.02,-0.1916,3764700,39327006.0
2020-12-08,'300351,永贵电器,,10.55,10.48,10.48,-0.04,-0.3817,2819300,29319407.0
2020-12-07,'300351,永贵电器,,10.58,10.14,10.14,0.34,3.3531,4976200,51635204.0
2020-12-04,'300351,永贵电器,,10.18,10.0,10.0,0.14,1.4,2414753,24412920.48
2020-12-03,'300351,永贵电器,,10.03,9.99,10.0,0.0,0.0,2664500,26583223.5
2020-12-02,'300351,永贵电器,,10.07,10.04,10.04,-0.04,-0.3984,3201800,31934079.0
2020-12-01,'300351,永贵电器,,10.06,10.03,10.03,0.01,0.0997,2338100,23426194.0
2020-11-30,'300351,永贵电器,,10.09,10.08,10.03,0.0,0.0,2118500,21242222.4
2020-11-27,'300351,永贵电器,,10.15,10.03,10.15,-0.12,-1.1823,3165100,31450132.0
2020-11-26,'300351,永贵电器,,10.27,10.27,10.3,-0.15,-1.4563,3597600,36266007.0
2020-11-25,'300351,永贵电器,,10.63,10.49,10.53,-0.23,-2.1842,3825800,40010430.0
