日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300007,汉威科技,,14.23,13.91,14.04,0.15,1.0684,5271200,74201174.0
2021-02-18,'300007,汉威科技,,14.29,13.88,13.65,0.39,2.8571,6496886,91450021.39
2021-02-10,'300007,汉威科技,,13.82,13.38,13.41,0.24,1.7897,4412292,59989246.8
2021-02-09,'300007,汉威科技,,13.42,13.24,13.18,0.23,1.7451,3636161,48517186.44
2021-02-08,'300007,汉威科技,,13.36,13.07,12.84,0.34,2.648,3548715,46667485.88
2021-02-05,'300007,汉威科技,,13.26,13.06,13.06,-0.22,-1.6845,2815500,36515545.0
2021-02-04,'300007,汉威科技,,13.33,13.23,13.22,-0.16,-1.2103,4688560,60843642.49
2021-02-03,'300007,汉威科技,,13.65,13.63,13.7,-0.48,-3.5036,4450245,59512294.34
2021-02-02,'300007,汉威科技,,13.84,13.77,13.78,-0.08,-0.5806,3424041,46827946.18
2021-02-01,'300007,汉威科技,,13.84,13.66,13.56,0.22,1.6224,4203700,57289815.1
2021-01-29,'300007,汉威科技,,14.14,14.05,13.99,-0.43,-3.0736,6326292,86415686.84
2021-01-28,'300007,汉威科技,,14.33,14.13,14.37,-0.38,-2.6444,5131500,72314727.0
2021-01-27,'300007,汉威科技,,14.7,14.48,14.32,0.05,0.3492,4520438,65385352.07
2021-01-26,'300007,汉威科技,,14.49,14.34,14.22,0.1,0.7032,4435173,63477571.28
2021-01-25,'300007,汉威科技,,14.82,14.81,14.91,-0.69,-4.6278,8314900,120078488.0
2021-01-22,'300007,汉威科技,,15.25,15.24,15.31,-0.4,-2.6127,7443492,111832717.04
2021-01-21,'300007,汉威科技,,15.49,15.18,15.15,0.16,1.0561,10689805,163160866.83
2021-01-20,'300007,汉威科技,,15.37,14.69,14.7,0.45,3.0612,9007797,135392251.69
2021-01-19,'300007,汉威科技,,15.09,14.9,14.95,-0.25,-1.6722,6495606,96468269.03
2021-01-18,'300007,汉威科技,,15.26,15.08,14.94,0.01,0.0669,7402043,111343970.01
2021-01-15,'300007,汉威科技,,15.25,15.2,15.11,-0.17,-1.1251,7908490,118130975.42
2021-01-14,'300007,汉威科技,,15.25,14.97,14.77,0.34,2.302,9448708,141468715.9
2021-01-13,'300007,汉威科技,,14.89,14.61,14.52,0.25,1.7218,9492925,139308652.48
2021-01-12,'300007,汉威科技,,14.91,14.42,14.18,0.34,2.3977,9476486,138500901.94
2021-01-11,'300007,汉威科技,,14.68,14.4,14.56,-0.38,-2.6099,5821602,83197387.6
2021-01-08,'300007,汉威科技,,14.79,14.2,14.25,0.31,2.1754,7236886,104609646.16
2021-01-07,'300007,汉威科技,,15.03,15.0,15.07,-0.82,-5.4413,7993972,116171850.34
2021-01-06,'300007,汉威科技,,15.58,15.57,15.57,-0.5,-3.2113,7685000,116388057.38
2021-01-05,'300007,汉威科技,,15.64,15.5,15.64,-0.07,-0.4476,7147698,110340019.94
2021-01-04,'300007,汉威科技,,15.89,15.51,15.56,0.08,0.5141,8256993,129477238.2
2020-12-31,'300007,汉威科技,,15.8,15.29,15.33,0.23,1.5003,6357865,98835668.6
2020-12-30,'300007,汉威科技,,15.46,15.31,15.54,-0.21,-1.3514,6623702,101469759.54
2020-12-29,'300007,汉威科技,,16.05,15.12,14.81,0.73,4.9291,11313464,177287893.26
2020-12-28,'300007,汉威科技,,15.04,14.61,14.67,0.14,0.9543,5662102,83407075.2
2020-12-25,'300007,汉威科技,,15.12,14.9,14.9,-0.23,-1.5436,5134200,76455792.0
2020-12-24,'300007,汉威科技,,15.43,15.43,15.44,-0.54,-3.4974,6333060,95715934.8
2020-12-23,'300007,汉威科技,,15.46,15.01,15.03,0.41,2.7279,5507499,84142989.68
2020-12-22,'300007,汉威科技,,15.56,15.41,15.52,-0.49,-3.1572,5555600,84794718.74
2020-12-21,'300007,汉威科技,,15.6,15.2,15.32,0.2,1.3055,4136866,64050178.76
2020-12-18,'300007,汉威科技,,15.63,15.45,15.41,-0.09,-0.584,4388377,67605406.8
2020-12-17,'300007,汉威科技,,15.48,15.21,15.16,0.25,1.6491,6163366,93305388.34
2020-12-16,'300007,汉威科技,,15.67,15.59,15.61,-0.45,-2.8828,5260219,80696504.08
2020-12-15,'300007,汉威科技,,15.74,15.4,15.4,0.21,1.3636,5176402,80269856.02
2020-12-14,'300007,汉威科技,,15.78,15.67,15.67,-0.27,-1.723,7313800,113606886.0
2020-12-11,'300007,汉威科技,,16.29,16.06,16.14,-0.47,-2.912,6469156,102543118.84
2020-12-10,'300007,汉威科技,,16.45,16.44,16.15,-0.01,-0.0619,4545788,73938767.0
2020-12-09,'300007,汉威科技,,16.92,16.86,16.85,-0.7,-4.1543,7190000,118084949.0
2020-12-08,'300007,汉威科技,,17.05,16.87,16.86,-0.01,-0.0593,2898400,48978295.0
2020-12-07,'300007,汉威科技,,17.24,17.06,17.16,-0.3,-1.7483,4613302,78435633.7
2020-12-04,'300007,汉威科技,,17.34,17.2,17.32,-0.16,-0.9238,4071700,70016211.0
2020-12-03,'300007,汉威科技,,17.46,17.25,17.33,-0.01,-0.0577,5052364,87184519.6
2020-12-02,'300007,汉威科技,,17.58,17.54,17.43,-0.1,-0.5737,6602349,114536909.68
2020-12-01,'300007,汉威科技,,17.48,16.89,16.79,0.64,3.8118,6911868,119254453.97
2020-11-30,'300007,汉威科技,,17.03,16.83,16.83,-0.04,-0.2377,4609428,77691865.08
2020-11-27,'300007,汉威科技,,16.89,16.62,16.71,0.12,0.7181,4682165,78190404.05
2020-11-26,'300007,汉威科技,,17.42,17.31,17.26,-0.55,-3.1866,8202501,138214816.6
2020-11-25,'300007,汉威科技,,17.69,17.63,17.65,-0.39,-2.2096,6008300,104851033.0
2020-11-24,'300007,汉威科技,,17.81,17.53,17.62,0.03,0.1703,6881139,121279009.55
2020-11-23,'300007,汉威科技,,17.78,17.56,17.51,0.11,0.6282,8728900,152517913.0
2020-11-20,'300007,汉威科技,,17.62,17.51,17.51,0.0,0.0,5926028,103520324.64
2020-11-19,'300007,汉威科技,,17.66,17.26,17.43,0.08,0.459,5901792,103331200.4
2020-11-18,'300007,汉威科技,,17.44,17.32,17.27,0.16,0.9265,5401650,93538537.5
2020-11-17,'300007,汉威科技,,17.8,17.79,17.93,-0.66,-3.681,10871750,188035668.5
2020-11-16,'300007,汉威科技,,17.98,17.78,17.67,0.26,1.4714,7132724,126863665.92
2020-11-13,'300007,汉威科技,,17.76,17.52,17.63,0.04,0.2269,6903008,121551525.17
2020-11-12,'300007,汉威科技,,17.86,17.63,17.68,-0.05,-0.2828,7474438,132089299.64
2020-11-11,'300007,汉威科技,,18.12,17.99,18.14,-0.46,-2.5358,10031668,177653934.04
2020-11-10,'300007,汉威科技,,18.98,18.94,18.94,-0.8,-4.2239,16295227,299594233.82
2020-11-09,'300007,汉威科技,,19.28,18.76,18.6,0.34,1.828,18566110,352375110.54
2020-11-06,'300007,汉威科技,,19.97,19.9,19.95,-1.35,-6.7669,24324037,464188915.91
2020-11-05,'300007,汉威科技,,20.2,20.09,20.07,-0.12,-0.5979,21213694,421335681.24
2020-11-04,'300007,汉威科技,,20.56,19.3,19.27,0.8,4.1515,30704409,612988954.08
2020-11-03,'300007,汉威科技,,19.56,19.56,19.55,-0.28,-1.4322,17343322,334290687.16
2020-11-02,'300007,汉威科技,,19.73,19.07,19.08,0.47,2.4633,26974658,520499408.33
2020-10-30,'300007,汉威科技,,19.18,18.48,18.41,0.67,3.6393,31160868,590107467.72
2020-10-29,'300007,汉威科技,,18.56,18.2,18.58,-0.17,-0.915,15282275,280043577.67
2020-10-28,'300007,汉威科技,,18.69,18.6,18.58,0.0,0.0,23828200,427893834.7
2020-10-27,'300007,汉威科技,,18.63,18.44,18.59,-0.01,-0.0538,12396420,227867293.3
2020-10-26,'300007,汉威科技,,18.76,17.78,17.87,0.72,4.0291,15542050,285872922.1
2020-10-23,'300007,汉威科技,,18.22,18.08,18.02,-0.15,-0.8324,8698700,156586806.0
2020-10-22,'300007,汉威科技,,18.28,18.08,18.06,-0.04,-0.2215,8672300,156347632.0
2020-10-21,'300007,汉威科技,,18.61,18.61,18.6,-0.54,-2.9032,11390561,207831761.23
2020-10-20,'300007,汉威科技,,18.6,18.38,18.38,0.22,1.197,10967205,202068993.67
2020-10-19,'300007,汉威科技,,19.0,18.93,18.74,-0.36,-1.921,12132111,225749712.17
2020-10-16,'300007,汉威科技,,18.92,18.3,18.4,0.34,1.8478,14395221,268965568.98
2020-10-15,'300007,汉威科技,,18.78,18.46,18.56,-0.16,-0.8621,12445400,230325284.0
2020-10-14,'300007,汉威科技,,18.61,18.33,18.3,0.26,1.4208,15278146,281569625.3
2020-10-13,'300007,汉威科技,,18.56,18.11,18.24,0.06,0.3289,16897700,310018496.45
2020-10-12,'300007,汉威科技,,18.36,17.35,17.25,0.99,5.7391,22053581,396035532.79
2020-10-09,'300007,汉威科技,,17.6,16.71,16.25,1.0,6.1538,13798699,235996326.14
2020-09-30,'300007,汉威科技,,16.73,16.68,16.59,-0.34,-2.0494,7407420,121719134.0
2020-09-29,'300007,汉威科技,,16.66,16.33,16.31,0.28,1.7167,7506853,124055700.38
2020-09-28,'300007,汉威科技,,16.55,16.48,16.25,0.06,0.3692,6374100,104297833.0
2020-09-25,'300007,汉威科技,,16.77,16.56,16.43,-0.18,-1.0956,8335700,136686168.0
2020-09-24,'300007,汉威科技,,17.25,17.18,17.41,-0.98,-5.6289,13580000,226798157.0
2020-09-23,'300007,汉威科技,,17.53,17.35,17.3,0.11,0.6358,9017011,156118848.17
2020-09-22,'300007,汉威科技,,18.01,17.6,17.75,-0.45,-2.5352,11371930,200741974.11
