日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300479,神思电子,,10.92,10.59,10.48,0.38,3.626,2167149,23290944.42
2021-02-18,'300479,神思电子,,10.64,10.25,10.17,0.31,3.0482,2130549,22324065.58
2021-02-10,'300479,神思电子,,10.35,10.17,10.12,0.05,0.4941,1128300,11483605.0
2021-02-09,'300479,神思电子,,10.33,9.87,9.92,0.2,2.0161,1936300,19471193.0
2021-02-08,'300479,神思电子,,10.12,10.04,9.95,-0.03,-0.3015,1606900,16018642.0
2021-02-05,'300479,神思电子,,10.74,10.45,10.44,-0.49,-4.6935,2780700,28561895.0
2021-02-04,'300479,神思电子,,10.92,10.9,10.92,-0.48,-4.3956,2717725,28468293.0
2021-02-03,'300479,神思电子,,11.38,11.38,11.38,-0.46,-4.0422,2119293,23544169.89
2021-02-02,'300479,神思电子,,11.56,11.37,11.35,0.03,0.2643,1113200,12730156.0
2021-02-01,'300479,神思电子,,11.68,11.3,11.28,0.07,0.6206,1741200,19850281.0
2021-01-29,'300479,神思电子,,11.85,11.7,11.7,-0.42,-3.5897,2507899,28524705.66
2021-01-28,'300479,神思电子,,12.14,11.74,11.89,-0.19,-1.598,1579200,18750491.0
2021-01-27,'300479,神思电子,,11.95,11.92,11.92,-0.03,-0.2517,1450299,17160820.2
2021-01-26,'300479,神思电子,,12.08,11.71,11.84,0.08,0.6757,1650900,19678572.0
2021-01-25,'300479,神思电子,,12.25,12.25,12.13,-0.29,-2.3908,1615499,19145601.23
2021-01-22,'300479,神思电子,,12.59,12.59,12.5,-0.37,-2.96,2168100,26440014.0
2021-01-21,'300479,神思电子,,12.71,12.69,12.59,-0.09,-0.7149,1737000,21822795.0
2021-01-20,'300479,神思电子,,12.88,12.75,12.7,-0.11,-0.8661,1523000,19115713.0
2021-01-19,'300479,神思电子,,12.86,12.39,12.54,0.16,1.2759,2314200,29426075.0
2021-01-18,'300479,神思电子,,12.7,12.2,12.28,0.26,2.1173,1960604,24513153.0
2021-01-15,'300479,神思电子,,12.48,12.0,12.03,0.25,2.0781,1964600,24173465.0
2021-01-14,'300479,神思电子,,12.17,11.56,11.71,0.32,2.7327,2378000,28209917.0
2021-01-13,'300479,神思电子,,11.97,11.88,11.99,-0.28,-2.3353,1955300,22972499.0
2021-01-12,'300479,神思电子,,12.23,11.95,11.87,0.12,1.011,2071495,24933455.1
2021-01-11,'300479,神思电子,,12.57,12.27,12.27,-0.4,-3.26,2806595,33977602.81
2021-01-08,'300479,神思电子,,12.49,12.25,12.22,0.05,0.4092,3170200,38947518.02
2021-01-07,'300479,神思电子,,13.29,13.29,13.31,-1.09,-8.1893,5744232,71677192.8
2021-01-06,'300479,神思电子,,13.87,13.81,13.88,-0.57,-4.1066,2898619,38976544.7
2021-01-05,'300479,神思电子,,14.4,14.4,14.22,-0.34,-2.391,1936900,27141126.0
2021-01-04,'300479,神思电子,,14.33,14.09,14.15,0.07,0.4947,1634512,23180906.68
2020-12-31,'300479,神思电子,,14.33,14.01,13.96,0.19,1.361,1515987,21509148.7
2020-12-30,'300479,神思电子,,14.0,13.89,13.93,0.03,0.2154,1340800,18630975.0
2020-12-29,'300479,神思电子,,14.18,13.6,13.5,0.43,3.1852,2279232,31790873.52
2020-12-28,'300479,神思电子,,13.75,13.73,13.67,-0.17,-1.2436,1659460,22383311.0
2020-12-25,'300479,神思电子,,13.8,13.51,13.53,0.14,1.0347,1446495,19797359.5
2020-12-24,'300479,神思电子,,14.18,14.18,14.17,-0.64,-4.5166,3326800,45624860.0
2020-12-23,'300479,神思电子,,14.32,14.1,14.16,0.01,0.0706,2133400,30170608.0
2020-12-22,'300479,神思电子,,14.95,14.95,14.92,-0.76,-5.0938,2856900,41342167.98
2020-12-21,'300479,神思电子,,14.97,14.71,14.78,0.14,0.9472,1553900,23068742.0
2020-12-18,'300479,神思电子,,15.06,15.0,15.0,-0.22,-1.4667,1438400,21460246.0
2020-12-17,'300479,神思电子,,15.12,14.79,14.65,0.35,2.3891,1838880,27456452.48
2020-12-16,'300479,神思电子,,15.14,15.12,15.16,-0.51,-3.3641,1697206,25118006.94
2020-12-15,'300479,神思电子,,15.22,15.06,15.1,0.06,0.3974,1261712,19049068.04
2020-12-14,'300479,神思电子,,15.14,14.77,14.82,0.28,1.8893,1710474,25611190.46
2020-12-11,'300479,神思电子,,15.09,15.05,15.05,-0.23,-1.5282,2756274,40672853.44
2020-12-10,'300479,神思电子,,15.49,15.37,15.37,-0.32,-2.082,2459793,37498684.54
2020-12-09,'300479,神思电子,,16.17,16.17,16.07,-0.7,-4.3559,3219871,50535012.98
2020-12-08,'300479,神思电子,,16.13,15.93,16.03,0.04,0.2495,1755386,28074026.1
2020-12-07,'300479,神思电子,,16.4,16.07,15.92,0.11,0.691,3219691,52077302.06
2020-12-04,'300479,神思电子,,15.96,15.82,15.81,0.11,0.6958,1699295,26911640.5
2020-12-03,'300479,神思电子,,16.07,15.88,15.93,-0.12,-0.7533,2097100,33374196.0
2020-12-02,'300479,神思电子,,16.05,15.86,15.93,0.0,0.0,2211814,35219289.61
2020-12-01,'300479,神思电子,,15.99,15.6,15.6,0.33,2.1154,2247000,35610456.0
2020-11-30,'300479,神思电子,,15.86,15.73,15.67,-0.07,-0.4467,2101000,32965224.0
2020-11-27,'300479,神思电子,,15.88,15.84,15.79,-0.12,-0.76,2428195,38090962.2
2020-11-26,'300479,神思电子,,16.34,16.33,16.28,-0.49,-3.0098,3936100,62805302.05
2020-11-25,'300479,神思电子,,16.55,16.48,16.4,-0.12,-0.7317,2626519,43072512.18
2020-11-24,'300479,神思电子,,16.9,16.65,16.87,-0.47,-2.786,3056499,50725840.57
2020-11-23,'300479,神思电子,,16.93,16.84,16.71,0.16,0.9575,3330614,55708418.61
2020-11-20,'300479,神思电子,,16.89,16.85,16.78,-0.07,-0.4172,2347995,39290119.6
2020-11-19,'300479,神思电子,,16.88,16.53,16.62,0.16,0.9627,2715500,45379390.0
2020-11-18,'300479,神思电子,,16.66,16.28,16.43,0.19,1.1564,2799719,46214763.02
2020-11-17,'300479,神思电子,,16.86,16.71,16.81,-0.38,-2.2606,3230319,52965079.32
2020-11-16,'300479,神思电子,,17.19,17.12,17.08,-0.27,-1.5808,2956496,49909937.0
2020-11-13,'300479,神思电子,,17.08,17.05,17.02,0.06,0.3525,2453200,41480433.0
2020-11-12,'300479,神思电子,,17.24,16.94,16.95,0.07,0.413,3102600,52910111.0
2020-11-11,'300479,神思电子,,17.67,17.53,17.67,-0.72,-4.0747,5221000,89744101.0
2020-11-10,'300479,神思电子,,17.97,17.81,17.8,-0.13,-0.7303,4705439,83535885.76
2020-11-09,'300479,神思电子,,17.86,17.33,17.33,0.47,2.7121,5613719,99477037.3
2020-11-06,'300479,神思电子,,18.25,18.25,18.32,-0.99,-5.4039,7099219,125530272.92
2020-11-05,'300479,神思电子,,18.39,18.25,18.27,0.05,0.2737,6825700,124070027.0
2020-11-04,'300479,神思电子,,18.48,18.09,18.03,0.24,1.3311,7896319,143057069.09
2020-11-03,'300479,神思电子,,18.1,17.7,17.85,0.18,1.0084,8065119,144506364.81
2020-11-02,'300479,神思电子,,17.85,17.6,17.6,0.25,1.4205,6807419,120117359.91
2020-10-30,'300479,神思电子,,18.54,18.14,18.38,-0.78,-4.2437,10604699,190664344.05
2020-10-29,'300479,神思电子,,18.66,18.41,18.94,-0.56,-2.9567,11145470,205049523.6
2020-10-28,'300479,神思电子,,19.65,19.45,19.45,-0.51,-2.6221,13697410,260014725.54
2020-10-27,'300479,神思电子,,21.18,20.13,20.75,-1.3,-6.2651,20912849,416661080.42
2020-10-26,'300479,神思电子,,21.94,21.94,21.94,-1.19,-5.4239,29855050,626473561.65
2020-10-23,'300479,神思电子,,21.94,19.0,18.28,3.66,20.0219,16560009,354588675.52
2020-10-22,'300479,神思电子,,18.5,17.77,17.73,0.55,3.1021,9306000,168931078.0
2020-10-21,'300479,神思电子,,18.17,17.84,17.82,-0.09,-0.5051,6023170,107486180.5
2020-10-20,'300479,神思电子,,17.97,17.34,17.23,0.59,3.4243,5679268,100373844.36
2020-10-19,'300479,神思电子,,17.69,17.56,17.51,-0.28,-1.5991,3170100,55007611.81
2020-10-16,'300479,神思电子,,17.57,17.45,17.37,0.14,0.806,4182138,72296012.58
2020-10-15,'300479,神思电子,,17.44,17.08,17.02,0.35,2.0564,3807100,65370061.0
2020-10-14,'300479,神思电子,,17.24,17.24,17.24,-0.22,-1.2761,2336376,39780468.32
2020-10-13,'300479,神思电子,,17.24,16.95,17.11,0.13,0.7598,2725519,46633596.38
2020-10-12,'300479,神思电子,,17.15,16.7,16.64,0.47,2.8245,3295500,55948697.0
2020-10-09,'300479,神思电子,,16.68,16.33,16.13,0.51,3.1618,1714300,28407024.0
2020-09-30,'300479,神思电子,,16.45,16.3,16.3,-0.17,-1.0429,1440400,23404484.0
2020-09-29,'300479,神思电子,,16.37,16.28,16.01,0.29,1.8114,1404800,22819312.0
2020-09-28,'300479,神思电子,,16.43,16.34,16.33,-0.32,-1.9596,2403288,38635191.48
2020-09-25,'300479,神思电子,,16.49,16.42,16.3,0.03,0.184,1834800,29945700.0
2020-09-24,'300479,神思电子,,16.67,16.53,16.79,-0.49,-2.9184,2479900,40706543.0
2020-09-23,'300479,神思电子,,16.89,16.54,16.54,0.25,1.5115,2869400,47856251.0
2020-09-22,'300479,神思电子,,16.98,16.78,16.9,-0.36,-2.1302,2893000,48437780.0
2020-09-21,'300479,神思电子,,17.39,17.28,17.22,-0.32,-1.8583,2782496,47623860.52
2020-09-18,'300479,神思电子,,17.29,17.17,17.14,0.08,0.4667,3310345,56605007.1
2020-09-17,'300479,神思电子,,17.34,16.81,16.81,0.33,1.9631,3776145,64313565.5
2020-09-16,'300479,神思电子,,17.09,17.0,17.12,-0.31,-1.8107,3533700,59378865.0
2020-09-15,'300479,神思电子,,17.49,17.24,17.25,-0.13,-0.7536,4128057,70922454.42
2020-09-14,'300479,神思电子,,17.31,16.64,16.6,0.65,3.9157,5197348,88575747.7
2020-09-11,'300479,神思电子,,16.78,16.1,16.41,0.19,1.1578,5748749,94281421.45
2020-09-10,'300479,神思电子,,18.55,18.23,18.15,-1.74,-9.5868,10776196,185179397.36
2020-09-09,'300479,神思电子,,18.98,18.8,19.1,-0.95,-4.9738,11364127,209584208.42
2020-09-08,'300479,神思电子,,19.19,18.31,18.31,0.79,4.3146,11932000,223685722.0
2020-09-07,'300479,神思电子,,19.07,18.47,18.49,-0.18,-0.9735,13516609,251989809.92
2020-09-04,'300479,神思电子,,18.79,17.51,17.84,0.65,3.6435,11961050,219399015.5
2020-09-03,'300479,神思电子,,18.5,18.04,18.1,-0.26,-1.4365,7820100,140911823.5
2020-09-02,'300479,神思电子,,18.25,17.81,17.57,0.53,3.0165,8966501,161344129.56
2020-09-01,'300479,神思电子,,17.64,17.2,17.36,0.21,1.2097,4301441,75128933.8
2020-08-31,'300479,神思电子,,17.86,17.56,17.61,-0.25,-1.4196,4721051,82709753.83
2020-08-28,'300479,神思电子,,17.64,17.5,17.64,-0.03,-0.1701,5284290,92128581.0
2020-08-27,'300479,神思电子,,17.65,16.6,16.68,0.96,5.7554,7615070,131178862.7
2020-08-26,'300479,神思电子,,17.37,17.19,17.28,-0.6,-3.4722,4642100,78561561.0
2020-08-25,'300479,神思电子,,17.48,16.7,16.8,0.48,2.8571,5874400,100525401.0
2020-08-24,'300479,神思电子,,16.87,16.77,16.72,0.08,0.4785,4450049,73518325.73
2020-08-21,'300479,神思电子,,16.84,16.72,16.57,0.15,0.9053,3362708,55933575.76
2020-08-20,'300479,神思电子,,16.92,16.57,16.75,-0.18,-1.0746,4032856,67082531.34
2020-08-19,'300479,神思电子,,17.64,17.64,17.7,-0.95,-5.3672,7049020,120315308.11
2020-08-18,'300479,神思电子,,18.26,17.76,17.8,-0.1,-0.5618,6252608,110912294.67
2020-08-17,'300479,神思电子,,17.88,17.55,17.7,0.1,0.565,8513758,149206646.65
2020-08-14,'300479,神思电子,,18.35,17.52,17.87,-0.17,-0.9513,13102845,231514554.58
2020-08-13,'300479,神思电子,,18.45,16.9,16.77,1.1,6.5593,18129158,328810463.7
2020-08-12,'300479,神思电子,,17.43,17.4,17.48,-0.71,-4.0618,5953890,99319228.2
2020-08-11,'300479,神思电子,,17.86,17.2,17.22,0.26,1.5099,9205390,161248870.2
2020-08-10,'300479,神思电子,,17.96,16.59,16.79,0.43,2.561,6448190,111387142.89
2020-08-07,'300479,神思电子,,17.03,17.01,17.08,-0.29,-1.6979,5481200,90870498.1
2020-08-06,'300479,神思电子,,17.21,16.9,16.82,0.26,1.5458,5231690,88332718.0
2020-08-05,'300479,神思电子,,17.15,16.84,16.79,0.03,0.1787,3917900,66074774.0
2020-08-04,'300479,神思电子,,17.35,17.33,17.21,-0.42,-2.4404,4116570,69823427.9
2020-08-03,'300479,神思电子,,17.25,16.84,16.83,0.38,2.2579,4035118,68914567.48
2020-07-31,'300479,神思电子,,17.1,16.89,16.76,0.07,0.4177,4038440,67660958.48
2020-07-30,'300479,神思电子,,17.58,16.61,16.74,0.02,0.1195,4890150,83381982.5
2020-07-29,'300479,神思电子,,16.81,16.19,16.23,0.51,3.1423,3180000,52421102.0
