日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300757,罗博特科,,33.88,32.7,32.27,0.73,2.2622,406352,13288066.38
2021-02-18,'300757,罗博特科,,32.87,32.5,31.87,0.4,1.2551,550380,17744869.2
2021-02-10,'300757,罗博特科,,33.0,31.81,31.8,0.07,0.2201,910920,29511444.1
2021-02-09,'300757,罗博特科,,35.85,35.85,35.9,-4.1,-11.4206,2603849,85457089.83
2021-02-08,'300757,罗博特科,,38.11,38.09,38.18,-2.28,-5.9717,1026800,37625358.3
2021-02-05,'300757,罗博特科,,39.4,39.08,38.78,-0.6,-1.5472,547933,21099305.1
2021-02-04,'300757,罗博特科,,39.08,38.18,37.99,0.79,2.0795,1983933,74078217.75
2021-02-03,'300757,罗博特科,,39.59,38.08,39.19,-1.2,-3.062,550800,21044468.3
2021-02-02,'300757,罗博特科,,39.89,38.98,39.4,-0.21,-0.533,863500,33913166.1
2021-02-01,'300757,罗博特科,,39.4,39.2,39.4,0.0,0.0,1310133,50410456.62
2021-01-29,'300757,罗博特科,,39.75,38.8,38.74,0.66,1.7037,1140570,44500501.7
2021-01-28,'300757,罗博特科,,39.22,38.0,37.65,1.09,2.8951,1273900,48811506.3
2021-01-27,'300757,罗博特科,,37.9,36.93,37.32,0.33,0.8842,671117,25115816.19
2021-01-26,'300757,罗博特科,,37.91,36.59,37.29,0.03,0.0805,381593,14233631.98
2021-01-25,'300757,罗博特科,,37.99,36.0,36.3,0.99,2.7273,494270,18403313.5
2021-01-22,'300757,罗博特科,,37.41,36.63,37.07,-0.77,-2.0772,305570,11147176.6
2021-01-21,'300757,罗博特科,,37.7,37.2,37.7,-0.63,-1.6711,352360,13074792.8
2021-01-20,'300757,罗博特科,,39.0,37.98,38.36,-0.66,-1.7205,456470,17372891.8
2021-01-19,'300757,罗博特科,,39.48,37.77,38.35,0.01,0.0261,722780,28002396.8
2021-01-18,'300757,罗博特科,,39.0,35.94,34.73,3.62,10.4233,855400,31308540.3
