ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,TCLOSW,×î¸ß¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,³É½»Á¿,³É½»½ð¶î
2021-02-19,'300681,Ó¢²«¶û,,29.45,28.61,28.58,0.71,2.4843,475200,13811384.0
2021-02-18,'300681,Ó¢²«¶û,,28.9,28.54,28.0,0.58,2.0714,637500,18217665.0
2021-02-10,'300681,Ó¢²«¶û,,28.49,27.95,27.85,0.15,0.5386,595200,16750399.0
2021-02-09,'300681,Ó¢²«¶û,,28.67,27.89,27.57,0.28,1.0156,590200,16536742.0
2021-02-08,'300681,Ó¢²«¶û,,28.5,28.0,28.0,-0.43,-1.5357,671100,18666612.0
2021-02-05,'300681,Ó¢²«¶û,,28.86,28.64,28.64,-0.64,-2.2346,438900,12390807.0
2021-02-04,'300681,Ó¢²«¶û,,29.48,28.6,29.04,-0.4,-1.3774,528300,15282788.0
2021-02-03,'300681,Ó¢²«¶û,,31.02,30.65,30.47,-1.43,-4.6931,813500,24152079.0
2021-02-02,'300681,Ó¢²«¶û,,31.12,30.88,30.88,-0.41,-1.3277,666400,20431089.0
2021-02-01,'300681,Ó¢²«¶û,,31.98,30.9,30.9,-0.02,-0.0647,978800,30467290.0
2021-01-29,'300681,Ó¢²«¶û,,32.0,31.7,31.35,-0.45,-1.4354,1227900,38361416.0
2021-01-28,'300681,Ó¢²«¶û,,32.21,30.1,29.88,1.47,4.9197,1668200,51723316.0
2021-01-27,'300681,Ó¢²«¶û,,30.37,29.8,30.22,-0.34,-1.1251,608390,18230755.9
2021-01-26,'300681,Ó¢²«¶û,,30.9,29.9,30.03,0.19,0.6327,665800,20184810.0
2021-01-25,'300681,Ó¢²«¶û,,31.6,31.41,31.39,-1.36,-4.3326,1036900,31662698.0
2021-01-22,'300681,Ó¢²«¶û,,31.66,31.66,31.33,0.06,0.1915,854400,26686820.0
2021-01-21,'300681,Ó¢²«¶û,,32.28,31.2,31.59,-0.26,-0.823,1276200,40526039.0
2021-01-20,'300681,Ó¢²«¶û,,32.0,30.34,30.95,0.64,2.0679,1351800,42531794.0
2021-01-19,'300681,Ó¢²«¶û,,31.86,29.46,29.46,1.49,5.0577,1780734,54663831.44
2021-01-18,'300681,Ó¢²«¶û,,29.56,28.32,28.31,1.15,4.0622,1090156,31779800.4
2021-01-15,'300681,Ó¢²«¶û,,28.61,27.75,27.76,0.55,1.9813,893140,25232113.8
2021-01-14,'300681,Ó¢²«¶û,,28.37,28.37,28.37,-0.61,-2.1502,943200,26160828.0
2021-01-13,'300681,Ó¢²«¶û,,29.81,29.81,29.25,-0.88,-3.0085,1152900,32983734.0
2021-01-12,'300681,Ó¢²«¶û,,30.6,29.3,29.29,-0.04,-0.1366,890200,26377852.58
2021-01-11,'300681,Ó¢²«¶û,,31.11,30.69,30.69,-1.4,-4.5617,1047700,31468905.0
2021-01-08,'300681,Ó¢²«¶û,,31.25,30.49,30.6,0.09,0.2941,1375642,42222696.04
2021-01-07,'300681,Ó¢²«¶û,,32.9,32.57,32.55,-1.95,-5.9908,1622400,50518455.0
2021-01-06,'300681,Ó¢²«¶û,,33.95,33.9,33.66,-1.11,-3.2977,1323100,43633828.0
2021-01-05,'300681,Ó¢²«¶û,,34.2,33.85,33.91,-0.25,-0.7372,871700,29398610.0
2021-01-04,'300681,Ó¢²«¶û,,34.4,33.59,33.55,0.36,1.073,865126,29417799.58
2020-12-31,'300681,Ó¢²«¶û,,34.38,33.41,33.49,0.06,0.1792,1068326,35831874.04
2020-12-30,'300681,Ó¢²«¶û,,34.07,33.2,32.98,0.51,1.5464,1153800,38579089.0
2020-12-29,'300681,Ó¢²«¶û,,35.2,34.98,34.65,-1.67,-4.8196,1389200,47099702.0
2020-12-28,'300681,Ó¢²«¶û,,36.16,36.16,36.16,-1.51,-4.1759,1286000,45047175.0
2020-12-25,'300681,Ó¢²«¶û,,36.79,35.86,36.03,0.13,0.3608,859234,31173436.0
2020-12-24,'300681,Ó¢²«¶û,,37.39,36.95,36.95,-0.92,-2.4899,1141000,41471320.0
2020-12-23,'300681,Ó¢²«¶û,,37.8,36.52,36.86,0.09,0.2442,1086600,40206894.0
2020-12-22,'300681,Ó¢²«¶û,,38.77,38.3,38.79,-1.93,-4.9755,1452334,54733925.0
2020-12-21,'300681,Ó¢²«¶û,,38.8,37.4,37.11,1.68,4.5271,1687073,63904335.59
2020-12-18,'300681,Ó¢²«¶û,,38.09,37.9,37.9,-0.79,-2.0844,1114800,41841094.32
