日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300937,药易购,,88.55,75.0,73.79,14.76,20.0027,11310619,930475716.63
2021-02-18,'300937,药易购,,80.9,72.5,73.84,-0.05,-0.0677,9173002,693029386.16
2021-02-10,'300937,药易购,,78.26,63.0,65.22,8.62,13.2168,10638683,752349603.38
2021-02-09,'300937,药易购,,79.88,79.0,79.99,-14.77,-18.4648,9894821,706482713.68
2021-02-08,'300937,药易购,,87.29,78.5,81.68,-1.69,-2.069,9269579,739266479.84
2021-02-05,'300937,药易购,,99.0,92.22,95.0,-13.32,-14.0211,9211840,825957209.17
2021-02-04,'300937,药易购,,103.99,86.0,92.47,2.53,2.736,13349913,1257145034.91
2021-02-03,'300937,药易购,,92.47,72.0,77.06,15.41,19.9974,13301424,1021597268.64
2021-02-02,'300937,C药易购,,114.8,102.08,120.8,-43.74,-36.2086,13035806,1213360202.08
2021-02-01,'300937,C药易购,,133.0,88.0,91.0,29.8,32.7473,15680841,1688593140.22
2021-01-29,'300937,C药易购,,150.0,48.8,48.0,43.0,89.5833,17051919,1107195747.28
2021-01-28,'300937,C药易购,,49.5,35.0,39.94,8.06,20.1803,14931819,616707766.78
2021-01-27,'300937,N药易购,,46.5,37.0,12.25,27.69,226.0408,15551081,623533077.35
