日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300530,达志科技,,18.74,18.58,18.57,-0.87,-4.685,4006450,71647606.25
2021-02-18,'300530,达志科技,,18.6,15.73,15.5,3.07,19.8065,3399016,59421539.76
2021-02-10,'300530,达志科技,,15.7,15.0,15.0,0.5,3.3333,1036550,15940535.0
2021-02-09,'300530,达志科技,,15.36,15.04,15.05,-0.05,-0.3322,1034260,15560756.5
2021-02-08,'300530,达志科技,,15.8,14.97,15.58,-0.53,-3.4018,1112975,16734288.0
2021-02-05,'300530,达志科技,,16.57,15.96,15.81,-0.23,-1.4548,1626660,26169288.95
2021-02-04,'300530,达志科技,,17.41,17.41,17.43,-1.62,-9.2943,3138305,50670850.75
2021-02-03,'300530,达志科技,,18.28,17.95,17.76,-0.33,-1.8581,2381400,41873750.0
2021-02-02,'300530,达志科技,,18.27,18.27,18.32,-0.56,-3.0568,1523950,27067035.5
2021-02-01,'300530,达志科技,,19.49,18.6,19.18,-0.86,-4.4838,1876825,34843304.5
2021-01-29,'300530,达志科技,,19.54,19.06,19.5,-0.32,-1.641,2116608,39945946.89
2021-01-28,'300530,达志科技,,19.88,19.4,19.47,0.03,0.1541,3411275,64367880.5
2021-01-27,'300530,达志科技,,19.88,17.2,19.07,0.4,2.0975,6383418,115789291.14
2021-01-26,'300530,达志科技,,24.89,24.8,23.84,-4.77,-20.0084,6037400,123560095.5
2021-01-25,'300530,达志科技,,28.2,27.88,28.42,-4.58,-16.1154,2388743,61009308.48
2021-01-22,'300530,达志科技,,29.7,29.59,29.59,-1.17,-3.954,717100,20480236.25
2021-01-21,'300530,达志科技,,30.24,30.01,30.01,-0.42,-1.3995,428584,12763623.3
2021-01-20,'300530,达志科技,,30.81,30.01,29.65,0.36,1.2142,604625,18301747.75
2021-01-19,'300530,达志科技,,30.19,28.53,28.53,1.12,3.9257,896809,26600299.25
2021-01-18,'300530,达志科技,,29.77,28.59,29.12,-0.59,-2.0261,579343,16732254.4
2021-01-15,'300530,达志科技,,30.52,29.8,29.43,-0.31,-1.0533,609475,18054115.75
2021-01-14,'300530,达志科技,,29.92,29.74,30.2,-0.77,-2.5497,1157998,33303534.58
2021-01-13,'300530,达志科技,,33.45,32.98,32.98,-2.78,-8.4294,1154900,35903096.25
2021-01-12,'300530,达志科技,,33.1,32.5,32.24,0.74,2.2953,543300,17753763.0
2021-01-11,'300530,达志科技,,32.58,31.58,31.58,0.66,2.0899,794548,25298281.74
2021-01-08,'300530,达志科技,,31.9,31.5,32.5,-0.92,-2.8308,1148725,35947254.5
2021-01-07,'300530,达志科技,,33.25,33.25,32.93,-0.43,-1.3058,1894559,59602387.13
2021-01-06,'300530,达志科技,,34.24,33.81,34.16,-1.23,-3.6007,804075,26694826.0
2021-01-05,'300530,达志科技,,34.79,34.79,34.88,-0.72,-2.0642,685950,23296145.0
2021-01-04,'300530,达志科技,,37.58,36.34,36.45,-1.57,-4.3073,1787150,63171306.28
2020-12-31,'300530,达志科技,,36.65,34.98,34.33,2.12,6.1754,1885826,67512983.91
2020-12-30,'300530,达志科技,,35.03,33.71,34.31,0.02,0.0583,681061,23403543.09
2020-12-29,'300530,达志科技,,35.76,35.55,35.73,-1.42,-3.9743,857559,29925061.96
2020-12-28,'300530,达志科技,,36.98,36.34,36.33,-0.6,-1.6515,776401,27833562.23
2020-12-25,'300530,达志科技,,36.8,34.94,34.59,1.74,5.0304,1273558,45978078.77
2020-12-24,'300530,达志科技,,34.85,32.51,33.0,1.59,4.8182,1501076,50622729.49
2020-12-23,'300530,达志科技,,34.3,34.3,33.85,-0.85,-2.5111,1006126,33169636.11
2020-12-22,'300530,达志科技,,34.57,34.0,34.25,-0.4,-1.1679,410714,14022299.22
2020-12-21,'300530,达志科技,,34.92,34.19,33.84,0.41,1.2116,501876,17102877.93
2020-12-18,'300530,达志科技,,34.65,34.65,34.84,-1.0,-2.8703,1062864,35858399.65
2020-12-17,'300530,达志科技,,35.88,35.78,35.79,-0.95,-2.6544,971175,34013991.5
2020-12-16,'300530,达志科技,,36.6,36.6,36.22,-0.43,-1.1872,779700,27719228.75
2020-12-15,'300530,达志科技,,37.3,37.0,36.93,-0.71,-1.9226,821475,29863441.0
2020-12-14,'300530,达志科技,,37.25,35.83,35.95,0.98,2.726,1700238,62490786.35
2020-12-11,'300530,达志科技,,37.0,34.8,34.58,1.37,3.9618,1819475,65401877.27
2020-12-10,'300530,达志科技,,34.85,33.1,33.27,1.31,3.9375,2091038,70707440.07
2020-12-09,'300530,达志科技,,34.2,34.2,33.9,-0.63,-1.8584,711275,23791066.25
2020-12-08,'300530,达志科技,,34.71,34.0,33.63,0.27,0.8029,892375,30428145.0
2020-12-07,'300530,达志科技,,34.7,34.25,34.0,-0.37,-1.0882,793750,26955048.5
2020-12-04,'300530,达志科技,,34.39,33.34,33.75,0.25,0.7407,784150,26543704.0
2020-12-03,'300530,达志科技,,34.29,34.26,34.8,-1.05,-3.0172,2565213,85623555.87
2020-12-02,'300530,达志科技,,35.87,34.71,34.87,-0.07,-0.2007,1455445,50270115.66
2020-12-01,'300530,达志科技,,35.38,35.38,35.05,-0.18,-0.5136,750787,25971812.41
2020-11-30,'300530,达志科技,,35.81,35.81,36.11,-1.06,-2.9355,350100,12395127.25
2020-11-27,'300530,达志科技,,36.47,36.47,36.66,-0.55,-1.5003,946350,33643674.5
2020-11-26,'300530,达志科技,,37.07,36.81,37.26,-0.6,-1.6103,1090968,39178276.63
2020-11-25,'300530,达志科技,,37.84,37.84,37.39,-0.13,-0.3477,408332,15037631.64
2020-11-24,'300530,达志科技,,37.78,37.4,37.4,-0.01,-0.0267,382114,14164490.2
2020-11-23,'300530,达志科技,,37.86,37.86,37.86,-0.46,-1.215,316150,11834746.75
2020-11-20,'300530,达志科技,,37.9,37.53,37.88,-0.02,-0.0528,213700,8032816.5
2020-11-19,'300530,达志科技,,38.25,37.95,37.88,0.0,0.0,390180,14672980.25
2020-11-18,'300530,达志科技,,38.5,37.5,37.88,0.0,0.0,420675,15928950.5
2020-11-17,'300530,达志科技,,38.86,38.79,38.93,-1.05,-2.6971,316150,12032038.0
2020-11-16,'300530,达志科技,,40.42,39.75,39.7,-0.77,-1.9395,578425,22580414.86
2020-11-13,'300530,达志科技,,40.55,39.21,39.21,0.49,1.2497,627800,24999301.0
2020-11-12,'300530,达志科技,,39.34,39.19,38.8,0.41,1.0567,350700,13692788.25
2020-11-11,'300530,达志科技,,39.91,38.3,38.62,0.18,0.4661,926287,36308569.21
2020-11-10,'300530,达志科技,,39.43,38.04,37.85,0.77,2.0343,726900,27975975.75
2020-11-09,'300530,达志科技,,38.1,37.75,37.75,0.1,0.2649,408300,15447370.5
2020-11-06,'300530,达志科技,,37.75,37.21,37.67,0.08,0.2124,322345,12043763.6
2020-11-05,'300530,达志科技,,38.04,38.03,38.05,-0.38,-0.9987,573393,21599749.63
2020-11-04,'300530,达志科技,,39.34,38.19,37.9,0.15,0.3958,592470,22668334.1
2020-11-03,'300530,达志科技,,38.25,38.01,38.0,-0.1,-0.2632,244750,9280850.25
2020-11-02,'300530,达志科技,,38.24,38.12,38.1,-0.1,-0.2625,204350,7764270.75
2020-10-30,'300530,达志科技,,38.49,38.49,38.15,-0.05,-0.1311,398600,15127468.35
2020-10-29,'300530,达志科技,,38.32,37.12,37.96,0.19,0.5005,273739,10394284.25
2020-10-28,'300530,达志科技,,38.1,37.17,37.7,0.26,0.6897,238725,9002091.5
2020-10-27,'300530,达志科技,,38.31,37.49,37.8,-0.1,-0.2646,433732,16397825.45
2020-10-26,'300530,达志科技,,37.97,37.97,37.8,0.0,0.0,523093,19352861.93
2020-10-23,'300530,达志科技,,37.8,37.5,38.01,-0.21,-0.5525,767968,28251269.18
2020-10-22,'300530,达志科技,,38.01,37.84,38.36,-0.35,-0.9124,311275,11681385.75
2020-10-21,'300530,达志科技,,38.58,38.08,38.07,0.29,0.7618,512075,19445028.0
2020-10-20,'300530,达志科技,,38.7,37.8,37.7,0.37,0.9814,494278,18879232.78
2020-10-19,'300530,达志科技,,39.87,39.87,39.87,-2.17,-5.4427,1348150,51461229.84
2020-10-16,'300530,达志科技,,40.45,40.45,39.89,-0.02,-0.0501,1074657,42915664.09
2020-10-15,'300530,达志科技,,41.07,40.09,39.29,0.6,1.5271,1492143,60056627.44
2020-10-14,'300530,达志科技,,40.19,39.69,40.2,-0.91,-2.2637,491050,19412462.75
2020-10-13,'300530,达志科技,,40.72,40.03,40.44,-0.24,-0.5935,786800,31478755.0
2020-10-12,'300530,达志科技,,41.45,40.55,39.74,0.7,1.7614,1013800,41261170.8
2020-10-09,'300530,达志科技,,40.44,38.0,37.99,1.75,4.6065,960967,38203612.42
2020-09-30,'300530,达志科技,,39.14,37.85,37.85,0.14,0.3699,821403,31333839.52
2020-09-29,'300530,达志科技,,41.25,40.68,40.41,-2.56,-6.3351,1328040,51916509.7
2020-09-28,'300530,达志科技,,42.01,41.75,41.75,-1.34,-3.2096,542057,22215892.81
2020-09-25,'300530,达志科技,,42.48,39.35,39.35,2.4,6.0991,1271857,52170752.05
2020-09-24,'300530,达志科技,,40.58,40.53,41.11,-1.76,-4.2812,751725,29860789.0
2020-09-23,'300530,达志科技,,42.0,42.0,41.76,-0.65,-1.5565,421475,17351675.75
2020-09-22,'300530,达志科技,,42.38,41.67,42.28,-0.52,-1.2299,443750,18493497.75
2020-09-21,'300530,达志科技,,42.63,42.37,42.63,-0.35,-0.821,759300,31763729.25
2020-09-18,'300530,达志科技,,43.5,42.96,43.45,-0.82,-1.8872,964300,40957460.88
2020-09-17,'300530,达志科技,,44.29,43.79,43.4,0.05,0.1152,703643,30460691.51
2020-09-16,'300530,达志科技,,43.9,43.7,43.37,0.03,0.0692,500874,21735980.03
2020-09-15,'300530,达志科技,,44.0,41.42,41.39,1.98,4.7838,1230503,52819060.4
2020-09-14,'300530,达志科技,,42.49,41.92,41.42,-0.03,-0.0724,1531107,63551368.73
2020-09-11,'300530,达志科技,,42.3,39.59,40.05,1.37,3.4207,1814962,74496629.8
2020-09-10,'300530,达志科技,,41.48,39.55,39.55,0.5,1.2642,1050250,42307893.0
2020-09-09,'300530,达志科技,,40.72,38.94,39.4,0.15,0.3807,1195475,46547778.25
2020-09-08,'300530,达志科技,,41.59,41.59,41.63,-2.23,-5.3567,1466675,56940120.45
2020-09-07,'300530,达志科技,,43.63,43.4,43.52,-1.89,-4.3428,1366050,57328400.85
2020-09-04,'300530,达志科技,,44.27,44.27,44.39,-0.87,-1.9599,733625,31771251.5
