日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300312,邦讯技术,,3.5,2.9,2.92,0.58,19.863,29040300,96074273.0
2021-02-18,'300312,邦讯技术,,2.95,2.74,2.71,0.21,7.7491,15190300,43348564.0
2021-02-10,'300312,邦讯技术,,2.83,2.83,2.77,-0.06,-2.1661,11843500,32291587.0
2021-02-09,'300312,邦讯技术,,2.82,2.82,2.78,-0.01,-0.3597,17045600,46248453.8
2021-02-08,'300312,邦讯技术,,2.93,2.91,2.92,-0.14,-4.7945,11701504,33061502.48
2021-02-05,'300312,邦讯技术,,3.13,3.06,3.03,-0.11,-3.6304,9613900,28759380.0
2021-02-04,'300312,邦讯技术,,3.21,3.18,3.15,-0.12,-3.8095,10298300,31443677.0
2021-02-03,'300312,邦讯技术,,3.33,3.25,3.29,-0.14,-4.2553,10386500,33176228.0
2021-02-02,'300312,邦讯技术,,3.5,3.42,3.4,-0.11,-3.2353,12491200,41877132.0
2021-02-01,'300312,邦讯技术,,3.7,3.56,3.54,-0.14,-3.9548,14422900,49958937.0
2021-01-29,'300312,邦讯技术,,3.79,3.71,3.85,-0.31,-8.0519,19583500,70860018.0
2021-01-28,'300312,邦讯技术,,4.07,3.46,3.47,0.38,10.951,32187857,122509970.07
2021-01-27,'300312,邦讯技术,,3.62,3.41,3.93,-0.46,-11.7048,31263867,106299466.01
2021-01-26,'300312,邦讯技术,,4.14,3.95,4.01,-0.08,-1.995,10221800,40940802.0
2021-01-25,'300312,邦讯技术,,4.23,4.19,4.19,-0.18,-4.2959,11699900,47740507.0
2021-01-22,'300312,邦讯技术,,4.38,4.37,4.37,-0.18,-4.119,11723600,49660691.0
2021-01-21,'300312,邦讯技术,,4.5,4.38,4.46,-0.09,-2.0179,13484400,59324982.0
2021-01-20,'300312,邦讯技术,,4.65,4.61,4.61,-0.15,-3.2538,16340292,73070878.3
2021-01-19,'300312,邦讯技术,,4.62,4.4,4.38,0.23,5.2511,21410407,96716883.11
2021-01-18,'300312,邦讯技术,,4.52,4.33,4.43,-0.05,-1.1287,14899350,65295752.0
2021-01-15,'300312,邦讯技术,,4.55,4.34,4.34,0.09,2.0737,16451500,72224592.0
2021-01-14,'300312,邦讯技术,,4.47,4.1,4.13,0.21,5.0847,21093800,90322121.0
2021-01-13,'300312,邦讯技术,,4.41,4.41,4.34,-0.21,-4.8387,13559700,56782671.0
2021-01-12,'300312,邦讯技术,,4.6,4.5,4.45,-0.11,-2.4719,14299682,63090066.6
2021-01-11,'300312,邦讯技术,,4.77,4.77,4.74,-0.29,-6.1181,17848564,80410435.8
2021-01-08,'300312,邦讯技术,,4.94,4.83,4.82,-0.08,-1.6598,12780000,61585799.0
2021-01-07,'300312,邦讯技术,,5.29,5.22,5.21,-0.39,-7.4856,17798200,87962088.0
2021-01-06,'300312,邦讯技术,,5.68,5.53,5.4,-0.19,-3.5185,15721700,84404263.0
2021-01-05,'300312,邦讯技术,,5.69,5.65,5.62,-0.22,-3.9146,12989500,71350315.0
2021-01-04,'300312,邦讯技术,,5.76,5.59,5.63,-0.01,-0.1776,12657600,71733961.0
2020-12-31,'300312,邦讯技术,,5.8,5.59,5.73,-0.1,-1.7452,13722600,77804483.0
2020-12-30,'300312,邦讯技术,,5.87,5.7,5.85,-0.12,-2.0513,19100850,108887062.79
2020-12-29,'300312,邦讯技术,,5.99,5.46,5.49,0.36,6.5574,28474430,163742527.3
2020-12-28,'300312,邦讯技术,,5.61,5.6,5.58,-0.09,-1.6129,18161701,99443946.63
2020-12-25,'300312,邦讯技术,,5.88,5.27,5.2,0.38,7.3077,30165764,167498365.88
2020-12-24,'300312,邦讯技术,,5.35,5.19,5.4,-0.2,-3.7037,22077600,114472738.0
2020-12-23,'300312,邦讯技术,,5.8,5.2,5.11,0.29,5.6751,32953350,179815311.5
2020-12-22,'300312,邦讯技术,,5.76,5.73,5.69,-0.58,-10.1933,32054290,169969222.2
2020-12-21,'300312,邦讯技术,,6.0,5.96,5.87,-0.18,-3.0664,18312501,105643683.83
2020-12-18,'300312,邦讯技术,,6.29,6.2,6.2,-0.33,-5.3226,18279250,109408066.5
2020-12-17,'300312,邦讯技术,,6.52,6.37,6.3,-0.1,-1.5873,18219000,112746583.0
2020-12-16,'300312,邦讯技术,,6.66,6.66,6.63,-0.33,-4.9774,14131172,90397310.2
2020-12-15,'300312,邦讯技术,,6.97,6.75,6.9,-0.27,-3.913,10091051,67957123.17
2020-12-14,'300312,邦讯技术,,7.05,6.8,6.7,0.2,2.9851,21131550,142696965.0
2020-12-11,'300312,邦讯技术,,7.08,7.05,7.09,-0.39,-5.5007,23318400,161091030.6
2020-12-10,'300312,邦讯技术,,7.49,7.28,7.38,-0.29,-3.9295,7455400,54030919.0
2020-12-09,'300312,邦讯技术,,7.65,7.65,7.55,-0.17,-2.2517,8357900,61770431.0
2020-12-08,'300312,邦讯技术,,7.57,7.42,7.53,0.02,0.2656,7164900,53653178.0
2020-12-07,'300312,邦讯技术,,7.61,7.53,7.53,0.0,0.0,9686500,72167367.0
2020-12-04,'300312,邦讯技术,,7.72,7.6,7.6,-0.07,-0.9211,8219400,62102257.0
2020-12-03,'300312,邦讯技术,,7.73,7.36,7.43,0.17,2.288,13109000,98519385.0
2020-12-02,'300312,邦讯技术,,8.28,8.11,8.18,-0.75,-9.1687,21403200,160561517.0
2020-12-01,'300312,邦讯技术,,8.33,8.29,8.27,-0.09,-1.0883,7240700,59625696.0
2020-11-30,'300312,邦讯技术,,8.42,8.31,8.32,-0.05,-0.601,4258700,35360950.0
2020-11-27,'300312,邦讯技术,,8.43,8.32,8.33,-0.01,-0.12,4966100,41359844.0
2020-11-26,'300312,邦讯技术,,8.52,8.41,8.5,-0.17,-2.0,6050600,50675778.0
2020-11-25,'300312,邦讯技术,,8.71,8.57,8.57,-0.07,-0.8168,7685600,65360548.0
2020-11-24,'300312,邦讯技术,,8.73,8.56,8.6,-0.03,-0.3488,8097200,69600454.0
2020-11-23,'300312,邦讯技术,,8.79,8.35,8.35,0.25,2.994,9528200,81731362.0
2020-11-20,'300312,邦讯技术,,8.58,8.45,8.58,-0.23,-2.6807,8759200,73655755.0
2020-11-19,'300312,邦讯技术,,8.74,8.51,8.68,-0.1,-1.1521,8573500,73960800.0
2020-11-18,'300312,邦讯技术,,8.9,8.76,8.75,-0.07,-0.8,9737800,84818789.64
2020-11-17,'300312,邦讯技术,,8.88,8.72,8.6,0.15,1.7442,15928200,136312282.0
2020-11-16,'300312,邦讯技术,,8.8,8.69,8.68,-0.08,-0.9217,10770700,92721952.0
2020-11-13,'300312,邦讯技术,,8.93,8.33,8.33,0.35,4.2017,13155000,112078944.0
2020-11-12,'300312,邦讯技术,,8.59,8.43,8.44,-0.11,-1.3033,8339500,69420200.0
2020-11-11,'300312,邦讯技术,,8.82,8.82,8.72,-0.28,-3.211,11517650,97749741.5
2020-11-10,'300312,邦讯技术,,9.16,9.09,9.14,-0.42,-4.5952,19533800,173044943.0
2020-11-09,'300312,邦讯技术,,9.38,8.75,8.85,0.29,3.2768,28412500,257932624.0
2020-11-06,'300312,邦讯技术,,9.45,8.77,8.75,0.1,1.1429,28718302,260090943.12
