�梪�,嘖き測鎢,靡備,TCLOSW,郔詢歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,傖蝠講,傖蝠踢塗
2021-02-19,'300093,踢試產薛,,8.85,7.6,7.7,1.13,14.6753,7447801,62323111.56
2021-02-18,'300093,踢試產薛,,7.78,7.11,7.11,0.59,8.2982,4109001,30961059.39
2021-02-10,'300093,踢試產薛,,7.3,7.03,7.05,0.06,0.8511,1413500,10062884.0
2021-02-09,'300093,踢試產薛,,7.19,7.0,6.99,0.06,0.8584,1408700,9957779.0
2021-02-08,'300093,踢試產薛,,7.21,7.17,7.15,-0.16,-2.2378,1883800,13295461.0
2021-02-05,'300093,踢試產薛,,7.58,7.22,7.22,-0.07,-0.9695,2113000,15427338.0
2021-02-04,'300093,踢試產薛,,7.46,7.43,7.45,-0.23,-3.0872,1892102,13708437.33
2021-02-03,'300093,踢試產薛,,7.88,7.88,7.75,-0.3,-3.871,1754554,13272687.16
2021-02-02,'300093,踢試產薛,,7.87,7.8,7.85,-0.1,-1.2739,1948000,15123697.0
2021-02-01,'300093,踢試產薛,,7.94,7.57,7.56,0.29,3.836,2852100,22271953.99
2021-01-29,'300093,踢試產薛,,7.8,7.51,7.51,0.05,0.6658,3434020,25752750.4
2021-01-28,'300093,踢試產薛,,7.69,7.57,7.57,-0.06,-0.7926,1688001,12787184.68
2021-01-27,'300093,踢試產薛,,7.71,7.59,7.6,-0.03,-0.3947,1902500,14337216.0
2021-01-26,'300093,踢試產薛,,7.78,7.66,7.74,-0.14,-1.8088,2425700,18519330.0
2021-01-25,'300093,踢試產薛,,8.07,8.01,8.0,-0.26,-3.25,2438291,18953808.84
2021-01-22,'300093,踢試產薛,,8.41,8.31,8.35,-0.35,-4.1916,2824520,22895071.8
2021-01-21,'300093,踢試產薛,,8.4,8.25,8.22,0.13,1.5815,1740120,14462995.0
2021-01-20,'300093,踢試產薛,,8.43,8.4,8.41,-0.19,-2.2592,2900454,24065730.2
2021-01-19,'300093,踢試產薛,,8.58,7.98,8.09,0.32,3.9555,5438720,45278933.0
2021-01-18,'300093,踢試產薛,,8.13,7.94,7.86,0.23,2.9262,3232000,25957369.0
2021-01-15,'300093,踢試產薛,,7.96,7.72,7.77,0.09,1.1583,2262046,17692966.1
2021-01-14,'300093,踢試產薛,,7.88,7.8,7.8,-0.03,-0.3846,2150789,16647766.15
2021-01-13,'300093,踢試產薛,,8.2,8.2,8.2,-0.4,-4.878,4884563,38479435.62
2021-01-12,'300093,踢試產薛,,8.55,8.41,8.36,-0.16,-1.9139,2530500,21104882.0
2021-01-11,'300093,踢試產薛,,8.83,8.52,8.61,-0.25,-2.9036,3395200,28651277.62
2021-01-08,'300093,踢試產薛,,8.63,8.5,8.51,0.1,1.1751,4523871,38058143.27
2021-01-07,'300093,踢試產薛,,9.21,9.09,9.16,-0.65,-7.0961,5984252,52345512.51
2021-01-06,'300093,踢試產薛,,9.32,9.02,9.01,0.15,1.6648,3693786,33830116.72
2021-01-05,'300093,踢試產薛,,9.12,9.05,9.14,-0.13,-1.4223,4789633,42970538.12
2021-01-04,'300093,踢試產薛,,9.28,9.09,9.21,-0.07,-0.76,4410001,40437912.17
2020-12-31,'300093,踢試產薛,,9.68,9.09,9.06,0.15,1.6556,4438400,41089432.0
2020-12-30,'300093,踢試產薛,,9.29,9.1,9.2,-0.14,-1.5217,3420200,31278976.0
2020-12-29,'300093,踢試產薛,,9.43,9.41,9.42,-0.22,-2.3355,4339754,39869503.56
2020-12-28,'300093,踢試產薛,,9.93,9.93,9.92,-0.5,-5.0403,6018531,58115489.64
2020-12-25,'300093,踢試產薛,,10.09,10.07,10.02,-0.1,-0.998,3625064,36201207.72
2020-12-24,'300093,踢試產薛,,10.22,10.05,10.06,-0.04,-0.3976,4642453,46785067.95
2020-12-23,'300093,踢試產薛,,10.19,9.85,9.94,0.12,1.2072,4127600,41646956.0
2020-12-22,'300093,踢試產薛,,10.22,10.0,10.11,-0.17,-1.6815,4673300,46863638.0
2020-12-21,'300093,踢試產薛,,10.29,10.13,10.13,-0.02,-0.1974,4756530,48155830.05
2020-12-18,'300093,踢試產薛,,10.48,10.26,10.1,0.03,0.297,5563744,56633447.45
2020-12-17,'300093,踢試產薛,,10.33,10.0,10.2,-0.1,-0.9804,5440908,55157093.41
2020-12-16,'300093,踢試產薛,,10.43,10.31,10.13,0.07,0.691,5823593,59863138.63
2020-12-15,'300093,踢試產薛,,10.64,10.3,10.39,-0.26,-2.5024,14428053,145549572.02
2020-12-14,'300093,踢試產薛,,11.1,10.5,10.86,-0.47,-4.3278,16850713,172799600.53
2020-12-11,'300093,踢試產薛,,11.6,11.58,11.54,-0.68,-5.8925,15845221,176051692.67
2020-12-10,'300093,踢試產薛,,12.46,11.18,11.24,0.3,2.669,21901258,254368681.64
2020-12-09,'300093,踢試產薛,,11.78,10.93,10.91,0.33,3.0247,14193951,160406142.58
2020-12-08,'300093,踢試產薛,,10.97,10.88,10.88,0.03,0.2757,3945284,42953812.86
2020-12-07,'300093,踢試產薛,,11.26,10.87,10.87,0.01,0.092,4403200,48393768.0
2020-12-04,'300093,踢試產薛,,10.92,10.76,10.75,0.12,1.1163,3620700,39130568.0
2020-12-03,'300093,踢試產薛,,10.83,10.67,10.72,0.03,0.2799,3657200,39221451.0
2020-12-02,'300093,踢試產薛,,10.83,10.7,10.74,-0.02,-0.1862,3011918,32262788.86
2020-12-01,'300093,踢試產薛,,10.88,10.53,10.61,0.13,1.2253,3574613,38398232.62
2020-11-30,'300093,踢試產薛,,10.8,10.67,10.64,-0.03,-0.282,2785500,29815502.0
2020-11-27,'300093,踢試產薛,,10.67,10.63,10.63,0.01,0.0941,2831401,29993861.56
2020-11-26,'300093,踢試產薛,,10.71,10.6,10.61,0.02,0.1885,3060200,32523033.0
2020-11-25,'300093,踢試產薛,,10.88,10.8,10.84,-0.23,-2.1218,5885289,62990937.52
2020-11-24,'300093,踢試產薛,,10.99,10.8,10.85,-0.01,-0.0922,4488935,48749442.85
2020-11-23,'300093,踢試產薛,,11.03,11.03,11.03,-0.18,-1.6319,6444784,70303864.36
2020-11-20,'300093,踢試產薛,,11.07,10.87,10.93,0.1,0.9149,10074611,109406035.78
2020-11-19,'300093,踢試產薛,,11.25,11.18,11.4,-0.47,-4.1228,11359403,124751629.94
2020-11-18,'300093,踢試產薛,,11.78,11.18,11.16,0.24,2.1505,13992701,160042934.8
2020-11-17,'300093,踢試產薛,,11.33,10.95,10.99,0.17,1.5469,8501604,94633294.07
2020-11-16,'300093,踢試產薛,,11.1,11.07,11.06,-0.07,-0.6329,6209801,68312459.93
2020-11-13,'300093,踢試產薛,,11.11,10.9,11.06,0.0,0.0,8668401,94743014.77
2020-11-12,'300093,踢試產薛,,11.19,10.9,11.03,0.03,0.272,12186172,133197599.0
2020-11-11,'300093,踢試產薛,,11.55,11.31,11.31,-0.28,-2.4757,15046972,169010999.26
2020-11-10,'300093,踢試產薛,,11.79,11.79,11.99,-0.68,-5.6714,25161100,288784513.51
2020-11-09,'300093,踢試產薛,,12.27,11.89,12.16,-0.17,-1.398,31017873,370699721.46
