日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300763,锦浪科技,,205.88,192.56,191.16,12.84,6.7169,2317001,458102483.65
2021-02-18,'300763,锦浪科技,,221.0,221.0,215.05,-23.89,-11.109,2839615,566268017.78
2021-02-10,'300763,锦浪科技,,218.66,204.99,204.99,10.06,4.9076,1911451,407334259.6
2021-02-09,'300763,锦浪科技,,209.88,203.9,211.2,-6.21,-2.9403,2416878,494832523.44
2021-02-08,'300763,锦浪科技,,217.0,215.0,219.0,-7.8,-3.5616,3678270,728771737.49
2021-02-05,'300763,锦浪科技,,227.5,209.01,210.93,8.07,3.8259,2152648,472234610.76
2021-02-04,'300763,锦浪科技,,217.89,203.81,208.05,2.88,1.3843,1754815,373981189.7
2021-02-03,'300763,锦浪科技,,221.19,209.87,206.72,1.33,0.6434,1972342,421391819.43
2021-02-02,'300763,锦浪科技,,212.0,206.26,206.26,0.46,0.223,2377077,484572091.79
2021-02-01,'300763,锦浪科技,,222.0,211.01,209.52,-3.26,-1.5559,2625155,558408886.04
2021-01-29,'300763,锦浪科技,,220.98,201.91,199.0,10.52,5.2864,2628963,560371381.09
2021-01-28,'300763,锦浪科技,,212.0,194.0,202.28,-3.28,-1.6215,2249128,451676379.79
2021-01-27,'300763,锦浪科技,,204.68,194.9,195.01,7.27,3.728,2200793,428612494.09
2021-01-26,'300763,锦浪科技,,201.99,192.91,198.61,-3.6,-1.8126,1929647,375799472.6
2021-01-25,'300763,锦浪科技,,204.8,185.49,184.7,13.91,7.5311,2881144,566928127.02
2021-01-22,'300763,锦浪科技,,189.0,174.88,173.8,10.9,6.2716,2201293,403876884.84
2021-01-21,'300763,锦浪科技,,175.0,170.0,169.96,3.84,2.2594,2025364,346128796.94
2021-01-20,'300763,锦浪科技,,169.96,153.69,153.64,16.32,10.6222,2197042,359285324.53
2021-01-19,'300763,锦浪科技,,159.0,153.3,152.95,0.69,0.4511,1274906,198049038.31
2021-01-18,'300763,锦浪科技,,155.02,148.0,147.76,5.19,3.5125,1301575,197176321.49
2021-01-15,'300763,锦浪科技,,149.7,144.0,145.13,2.63,1.8122,1304547,190002681.24
2021-01-14,'300763,锦浪科技,,147.67,145.0,146.95,-1.82,-1.2385,2089728,296056208.55
2021-01-13,'300763,锦浪科技,,150.5,148.44,147.56,-0.61,-0.4134,1981217,289793178.92
2021-01-12,'300763,锦浪科技,,150.89,143.01,143.29,4.27,2.98,2087787,307733939.68
2021-01-11,'300763,锦浪科技,,155.14,155.0,156.78,-13.49,-8.6044,2544947,368692574.07
2021-01-08,'300763,锦浪科技,,166.0,166.0,167.1,-10.32,-6.1759,2555879,404557565.17
2021-01-07,'300763,锦浪科技,,168.0,152.7,152.36,14.74,9.6745,3579506,579266626.75
2021-01-06,'300763,锦浪科技,,154.2,147.79,147.98,4.38,2.9599,2313060,346891605.61
2021-01-05,'300763,锦浪科技,,148.98,146.48,150.5,-2.52,-1.6744,2392076,347621956.03
2021-01-04,'300763,锦浪科技,,157.5,146.23,149.0,1.5,1.0067,3471699,523215272.23
2020-12-31,'300763,锦浪科技,,151.99,145.04,142.45,6.55,4.5981,2518777,368716025.71
2020-12-30,'300763,锦浪科技,,145.5,140.01,139.53,2.92,2.0927,2421933,347074121.57
2020-12-29,'300763,锦浪科技,,157.0,156.49,157.89,-18.36,-11.6283,2683352,384751471.68
2020-12-28,'300763,锦浪科技,,161.5,161.5,162.5,-4.61,-2.8369,2138272,332714323.39
2020-12-25,'300763,锦浪科技,,167.3,151.92,152.14,10.36,6.8095,2841451,450597854.25
2020-12-24,'300763,锦浪科技,,158.0,157.08,159.77,-7.63,-4.7756,2684265,409148421.07
2020-12-23,'300763,锦浪科技,,166.66,146.0,142.8,16.97,11.8838,3334229,518808289.16
2020-12-22,'300763,锦浪科技,,147.92,142.45,144.62,-1.82,-1.2585,1743209,251296502.55
2020-12-21,'300763,锦浪科技,,148.0,142.15,139.82,4.8,3.433,1970671,284855498.35
2020-12-18,'300763,锦浪科技,,147.87,140.0,140.01,-0.19,-0.1357,1986963,283278686.0
2020-12-17,'300763,锦浪科技,,141.98,137.73,140.15,-0.14,-0.0999,1765758,245810664.4
2020-12-16,'300763,锦浪科技,,143.9,142.0,142.65,-2.5,-1.7525,2481656,346245103.08
2020-12-15,'300763,锦浪科技,,145.88,138.7,139.0,3.65,2.6259,2864267,399834363.18
2020-12-14,'300763,锦浪科技,,141.4,138.0,136.0,3.0,2.2059,2670370,367517485.7
2020-12-11,'300763,锦浪科技,,138.0,133.0,134.33,1.67,1.2432,2767063,371152212.94
2020-12-10,'300763,锦浪科技,,138.92,123.0,120.8,13.53,11.2003,4026075,523598797.23
2020-12-09,'300763,锦浪科技,,127.0,117.14,117.3,3.5,2.9838,3301353,404568913.64
