日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300274,阳光电源,,114.22,112.7,115.48,-3.3,-2.8576,50450033,5582222497.47
2021-02-18,'300274,阳光电源,,121.36,120.0,119.09,-3.61,-3.0313,58819035,6853962421.34
2021-02-10,'300274,阳光电源,,122.18,115.2,112.53,6.56,5.8296,64514819,7610655589.62
2021-02-09,'300274,阳光电源,,115.62,113.06,112.96,-0.43,-0.3807,54802811,6177852872.57
2021-02-08,'300274,阳光电源,,115.7,114.4,115.2,-2.24,-1.9444,58266715,6431222297.4
2021-02-05,'300274,阳光电源,,117.33,108.01,109.5,5.7,5.2055,62679339,7130616463.38
2021-02-04,'300274,阳光电源,,111.0,105.2,104.02,5.48,5.2682,60122111,6519232007.39
2021-02-03,'300274,阳光电源,,109.68,101.99,98.4,5.62,5.7114,70843041,7481423581.66
2021-02-02,'300274,阳光电源,,101.16,98.2,96.88,1.52,1.569,50616274,4995078025.19
2021-02-01,'300274,阳光电源,,106.6,104.0,104.8,-7.92,-7.5573,74388386,7403015106.6
2021-01-29,'300274,阳光电源,,106.36,101.31,99.59,5.21,5.2314,69117131,7067202615.56
2021-01-28,'300274,阳光电源,,103.4,99.01,104.5,-4.91,-4.6986,47817006,4815718898.13
2021-01-27,'300274,阳光电源,,104.5,97.89,95.58,8.92,9.3325,72114934,7084138574.2
2021-01-26,'300274,阳光电源,,100.28,99.0,102.5,-6.92,-6.7512,86710593,8400923694.9
2021-01-25,'300274,阳光电源,,113.62,99.0,98.8,3.7,3.7449,81047212,8559587592.47
2021-01-22,'300274,阳光电源,,100.0,93.0,93.4,5.4,5.7816,54341898,5307641501.23
2021-01-21,'300274,阳光电源,,94.01,94.0,92.2,1.2,1.3015,53238575,4893237063.5
2021-01-20,'300274,阳光电源,,92.55,84.98,83.9,8.3,9.8927,56473345,5046978452.14
2021-01-19,'300274,阳光电源,,88.6,86.65,86.1,-2.2,-2.5552,39654695,3387312733.6
2021-01-18,'300274,阳光电源,,87.63,82.4,84.13,1.97,2.3416,42287132,3572266213.94
2021-01-15,'300274,阳光电源,,86.66,85.44,88.8,-4.67,-5.259,58721515,4899378014.49
2021-01-14,'300274,阳光电源,,92.56,88.0,88.2,0.6,0.6803,54327588,4800479768.28
2021-01-13,'300274,阳光电源,,92.8,86.5,86.91,1.29,1.4843,49830707,4451999038.07
2021-01-12,'300274,阳光电源,,89.0,81.0,81.02,5.89,7.2698,53012048,4509194442.88
2021-01-11,'300274,阳光电源,,84.5,84.5,85.23,-4.21,-4.9396,52810077,4282124808.66
2021-01-08,'300274,阳光电源,,90.12,89.0,89.0,-3.77,-4.236,68019513,5846915037.55
2021-01-07,'300274,阳光电源,,90.39,82.3,80.16,8.84,11.0279,58687011,5052361963.12
2021-01-06,'300274,阳光电源,,81.48,77.02,76.82,3.34,4.3478,44666524,3476696381.57
2021-01-05,'300274,阳光电源,,80.59,76.4,78.19,-1.37,-1.7521,51136323,3961995226.19
2021-01-04,'300274,阳光电源,,81.77,72.68,72.28,5.91,8.1765,67302514,5039469579.58
2020-12-31,'300274,阳光电源,,72.75,69.98,67.97,4.31,6.341,47740288,3409504533.31
2020-12-30,'300274,阳光电源,,69.84,67.14,66.3,1.67,2.5189,46551567,3189672335.65
2020-12-29,'300274,阳光电源,,72.61,72.3,73.96,-7.66,-10.3569,74391528,5022856830.37
2020-12-28,'300274,阳光电源,,74.8,74.77,74.7,-0.74,-0.9906,60784066,4389143237.76
2020-12-25,'300274,阳光电源,,76.58,71.0,70.4,4.3,6.108,50438236,3661960126.27
2020-12-24,'300274,阳光电源,,73.25,69.51,69.92,0.48,0.6865,43648239,3078078454.54
