日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300932,三友联众,,38.88,37.92,38.34,0.28,0.7303,4617001,175752697.56
2021-02-18,'300932,三友联众,,38.47,36.91,36.27,2.07,5.7072,4313774,162778016.44
2021-02-10,'300932,三友联众,,36.9,36.32,36.13,0.14,0.3875,3802560,138677324.12
2021-02-09,'300932,三友联众,,36.86,36.5,36.52,-0.39,-1.0679,4816292,174173953.84
2021-02-08,'300932,三友联众,,38.48,37.3,37.5,-0.98,-2.6133,4408799,164983149.01
2021-02-05,'300932,三友联众,,41.86,40.51,40.9,-3.4,-8.313,6957457,274627054.55
2021-02-04,'300932,三友联众,,43.98,43.88,44.9,-4.0,-8.9087,7715243,326796434.52
2021-02-03,'300932,三友联众,,45.68,41.8,43.0,1.9,4.4186,8965381,395376589.04
2021-02-02,'300932,三友联众,,49.99,49.99,50.55,-7.55,-14.9357,12054814,554501510.34
2021-02-01,'300932,三友联众,,52.8,46.28,47.66,2.89,6.0638,13886145,697165238.26
2021-01-29,'300932,三友联众,,51.4,43.61,44.33,3.33,7.5118,13834108,640364985.1
2021-01-28,'300932,C三友,,45.6,41.8,43.52,0.81,1.8612,9793418,427925542.05
2021-01-27,'300932,C三友,,44.37,42.7,42.29,1.23,2.9085,9357537,395461672.87
2021-01-26,'300932,C三友,,45.44,42.27,43.03,-0.74,-1.7197,9128844,396900938.34
2021-01-25,'300932,C三友,,48.0,48.0,53.76,-10.73,-19.9591,13922584,626172491.61
2021-01-22,'300932,N三友,,68.0,52.0,24.69,29.07,117.74,19741616,1156611415.03
