日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300384,三联虹普,,13.94,13.21,13.35,0.49,3.6704,2108055,28863741.4
2021-02-18,'300384,三联虹普,,13.49,13.12,13.02,0.33,2.5346,1823944,24332725.32
2021-02-10,'300384,三联虹普,,13.2,12.98,12.98,0.04,0.3082,1697500,22007791.0
2021-02-09,'300384,三联虹普,,13.2,13.05,13.0,-0.02,-0.1538,2061859,26566149.58
2021-02-08,'300384,三联虹普,,13.38,12.11,12.05,0.95,7.8838,5117392,65394993.27
2021-02-05,'300384,三联虹普,,12.86,12.5,12.59,-0.54,-4.2891,2543318,31455971.67
2021-02-04,'300384,三联虹普,,13.29,13.29,13.33,-0.74,-5.5514,2331103,29856360.15
2021-02-03,'300384,三联虹普,,14.02,14.02,14.02,-0.69,-4.9215,1791161,24255082.03
2021-02-02,'300384,三联虹普,,14.14,13.82,13.74,0.28,2.0378,1918256,26744278.85
2021-02-01,'300384,三联虹普,,13.93,13.42,13.32,0.42,3.1532,1744972,23895114.49
2021-01-29,'300384,三联虹普,,13.88,13.68,13.77,-0.45,-3.268,1659015,22387673.9
2021-01-28,'300384,三联虹普,,14.46,13.65,13.69,0.08,0.5844,2585676,36262965.87
2021-01-27,'300384,三联虹普,,13.93,13.26,13.18,0.51,3.8695,1881857,25519696.92
2021-01-26,'300384,三联虹普,,13.63,13.43,13.34,-0.16,-1.1994,1179118,15753317.88
2021-01-25,'300384,三联虹普,,14.0,13.99,13.93,-0.59,-4.2355,2220013,30165511.51
2021-01-22,'300384,三联虹普,,14.32,14.32,14.32,-0.39,-2.7235,1916788,26719479.26
2021-01-21,'300384,三联虹普,,14.55,14.01,14.16,0.16,1.1299,1621132,23235466.22
2021-01-20,'300384,三联虹普,,14.49,14.31,14.34,-0.18,-1.2552,1958719,27692302.56
2021-01-19,'300384,三联虹普,,14.85,14.61,14.61,-0.27,-1.848,2317905,33520159.27
2021-01-18,'300384,三联虹普,,15.11,13.7,13.71,0.9,6.5646,3830182,55395347.64
2021-01-15,'300384,三联虹普,,13.89,12.98,13.02,0.69,5.2995,2935827,39627771.06
2021-01-14,'300384,三联虹普,,13.25,12.81,12.91,0.11,0.8521,3256836,42391163.23
2021-01-13,'300384,三联虹普,,13.49,13.39,13.38,-0.47,-3.5127,3785010,48885714.66
2021-01-12,'300384,三联虹普,,13.84,13.42,13.51,-0.13,-0.9623,2113900,28481849.24
2021-01-11,'300384,三联虹普,,14.59,14.31,14.45,-0.94,-6.5052,2817439,38987665.4
2021-01-08,'300384,三联虹普,,14.78,14.5,14.26,0.19,1.3324,2215628,31928764.37
2021-01-07,'300384,三联虹普,,15.43,15.26,15.2,-0.94,-6.1842,3569028,51941055.46
2021-01-06,'300384,三联虹普,,15.44,15.27,15.26,-0.06,-0.3932,1707354,25835134.2
2021-01-05,'300384,三联虹普,,15.48,14.9,14.93,0.33,2.2103,2212543,33489437.11
2021-01-04,'300384,三联虹普,,15.05,14.68,14.67,0.26,1.7723,1505450,22374850.1
2020-12-31,'300384,三联虹普,,14.74,14.58,14.46,0.21,1.4523,1089784,15962166.44
2020-12-30,'300384,三联虹普,,14.85,14.81,14.75,-0.29,-1.9661,1951502,28502555.1
2020-12-29,'300384,三联虹普,,15.09,14.78,14.72,0.03,0.2038,1756567,26097525.92
2020-12-28,'300384,三联虹普,,15.3,15.23,15.23,-0.51,-3.3487,1588018,23671206.68
2020-12-25,'300384,三联虹普,,15.4,14.97,14.95,0.28,1.8729,1217651,18538036.91
2020-12-24,'300384,三联虹普,,15.67,15.53,15.55,-0.6,-3.8585,2787385,42234177.51
2020-12-23,'300384,三联虹普,,15.79,15.6,15.63,-0.08,-0.5118,1199650,18762965.4
2020-12-22,'300384,三联虹普,,16.31,16.23,16.27,-0.64,-3.9336,2645558,42033503.85
2020-12-21,'300384,三联虹普,,16.48,16.17,16.15,0.12,0.743,1118852,18165097.92
