日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300827,上能电气,,58.6,58.6,58.28,-0.28,-0.4804,987500,56742542.0
2021-02-18,'300827,上能电气,,60.7,59.65,58.58,-0.3,-0.5121,1193300,70284139.0
2021-02-10,'300827,上能电气,,59.88,56.51,55.68,2.9,5.2083,1455600,85027918.0
2021-02-09,'300827,上能电气,,56.4,54.01,53.85,1.83,3.3983,1143500,63433713.0
2021-02-08,'300827,上能电气,,56.96,56.0,56.66,-2.81,-4.9594,1672654,90920690.5
2021-02-05,'300827,上能电气,,62.33,61.81,62.93,-6.27,-9.9635,2449761,144980095.72
2021-02-04,'300827,上能电气,,69.0,69.0,62.25,0.68,1.0924,1711600,108740254.6
2021-02-03,'300827,上能电气,,68.28,65.89,66.06,-3.81,-5.7675,2252514,145904990.24
2021-02-02,'300827,上能电气,,66.9,65.98,65.98,0.08,0.1212,1108700,73147184.0
2021-02-01,'300827,上能电气,,71.0,70.12,71.7,-5.72,-7.9777,1939600,130943982.0
2021-01-29,'300827,上能电气,,73.26,71.0,69.8,1.9,2.7221,1685300,120839750.0
2021-01-28,'300827,上能电气,,75.67,73.5,76.45,-6.65,-8.6985,1822499,130873135.2
2021-01-27,'300827,上能电气,,77.5,76.9,76.2,0.25,0.3281,2267300,168702709.0
2021-01-26,'300827,上能电气,,78.75,76.57,78.0,-1.8,-2.3077,1743400,134216441.0
2021-01-25,'300827,上能电气,,82.09,73.6,73.48,4.52,6.1513,3631182,283480690.52
2021-01-22,'300827,上能电气,,73.7,70.7,71.5,1.98,2.7692,1962450,142802489.76
2021-01-21,'300827,上能电气,,72.88,70.23,69.92,1.58,2.2597,1694850,121004256.0
2021-01-20,'300827,上能电气,,70.33,67.21,67.7,2.22,3.2792,1489500,103253865.0
2021-01-19,'300827,上能电气,,70.8,68.6,68.64,-0.94,-1.3695,1570350,108672180.0
2021-01-18,'300827,上能电气,,69.67,67.45,68.04,0.6,0.8818,1220000,83182725.0
2021-01-15,'300827,上能电气,,68.84,67.28,68.02,0.02,0.0294,1208800,81529851.0
2021-01-14,'300827,上能电气,,69.31,67.99,68.6,-0.58,-0.8455,1705900,114889403.0
2021-01-13,'300827,上能电气,,71.98,70.05,70.19,-1.59,-2.2653,1892932,132123501.84
2021-01-12,'300827,上能电气,,72.07,70.15,70.0,0.19,0.2714,1870060,132080781.0
2021-01-11,'300827,上能电气,,75.5,75.5,75.35,-5.35,-7.1002,2895271,204943087.38
2021-01-08,'300827,上能电气,,82.0,81.89,82.64,-7.29,-8.8214,3294672,254096526.64
2021-01-07,'300827,上能电气,,86.3,79.2,79.39,3.25,4.0937,3845100,315225381.0
2021-01-06,'300827,上能电气,,79.5,78.08,79.85,-0.46,-0.5761,2242241,174072247.99
2021-01-05,'300827,上能电气,,81.18,80.97,82.73,-2.88,-3.4812,2400101,191430845.72
2021-01-04,'300827,上能电气,,84.66,79.0,80.47,2.26,2.8085,3416773,276043603.21
2020-12-31,'300827,上能电气,,82.21,77.99,76.05,4.42,5.812,3036001,241337045.82
2020-12-30,'300827,上能电气,,79.11,72.37,71.78,4.27,5.9487,3273701,245527198.06
2020-12-29,'300827,上能电气,,83.46,80.5,76.35,-4.57,-5.9856,4011919,306631193.39
2020-12-28,'300827,上能电气,,76.79,75.95,75.37,0.98,1.3003,2394601,180475207.0
2020-12-25,'300827,上能电气,,76.61,69.1,69.54,5.83,8.3837,3685500,269330279.0
2020-12-24,'300827,上能电气,,71.6,70.9,71.99,-2.45,-3.4033,2644050,184290009.18
2020-12-23,'300827,上能电气,,72.46,66.0,65.0,6.99,10.7538,4123074,288827556.28
2020-12-22,'300827,上能电气,,68.65,68.0,69.24,-4.24,-6.1236,2714851,181164120.47
2020-12-21,'300827,上能电气,,70.94,70.0,67.45,1.79,2.6538,3102960,215038269.85
2020-12-18,'300827,上能电气,,67.98,63.9,63.56,3.89,6.1202,2929160,193073432.49
2020-12-17,'300827,上能电气,,66.16,65.61,65.79,-2.23,-3.3896,2589800,166065242.0
2020-12-16,'300827,上能电气,,70.0,65.42,65.4,0.39,0.5963,3157172,212272024.98
2020-12-15,'300827,上能电气,,66.15,65.0,65.82,-0.42,-0.6381,2896173,188661505.43
2020-12-14,'300827,上能电气,,65.9,61.02,59.97,5.85,9.7549,3907962,249054822.6
