日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300919,中伟股份,,75.66,73.37,74.82,0.44,0.5881,3401178,251795545.41
2021-02-18,'300919,中伟股份,,82.0,81.71,79.36,-4.54,-5.7208,5806795,446538253.91
2021-02-10,'300919,中伟股份,,80.5,78.7,78.88,0.48,0.6085,3201101,252223505.38
2021-02-09,'300919,中伟股份,,82.9,70.03,69.67,9.21,13.2195,6464520,496157759.77
2021-02-08,'300919,中伟股份,,71.6,70.51,70.27,-0.6,-0.8538,2913902,205284963.82
2021-02-05,'300919,中伟股份,,74.88,74.08,73.65,-3.38,-4.5893,3955348,285336788.91
2021-02-04,'300919,中伟股份,,80.55,80.01,81.0,-7.35,-9.0741,6259402,467726617.79
2021-02-03,'300919,中伟股份,,86.2,84.26,84.22,-3.22,-3.8233,3639908,304190486.53
2021-02-02,'300919,中伟股份,,86.5,84.03,85.0,-0.78,-0.9176,3907453,330653171.32
2021-02-01,'300919,中伟股份,,85.28,81.54,81.52,3.48,4.2689,3831673,318533810.7
2021-01-29,'300919,中伟股份,,85.5,84.0,83.58,-2.06,-2.4647,5022232,410783950.29
2021-01-28,'300919,中伟股份,,89.88,89.7,92.4,-8.82,-9.5455,6057778,527297475.87
2021-01-27,'300919,中伟股份,,99.95,98.39,96.2,-3.8,-3.9501,6344669,599242197.2
2021-01-26,'300919,中伟股份,,99.01,96.08,96.0,0.2,0.2083,4789764,458535159.67
2021-01-25,'300919,中伟股份,,101.0,93.0,94.68,1.32,1.3942,8092140,783818840.45
2021-01-22,'300919,中伟股份,,94.8,88.58,90.33,4.35,4.8157,7382885,668200037.3
2021-01-21,'300919,中伟股份,,97.48,96.0,90.57,-0.24,-0.265,6567200,609823697.9
2021-01-20,'300919,中伟股份,,91.4,86.54,87.0,3.57,4.1034,5532648,494581689.79
2021-01-19,'300919,中伟股份,,95.5,91.01,91.94,-4.94,-5.3731,6541650,599122102.07
2021-01-18,'300919,中伟股份,,91.94,89.88,91.1,0.84,0.9221,5372173,481756725.59
2021-01-15,'300919,中伟股份,,92.88,85.2,86.14,4.96,5.7581,6930385,616161691.55
2021-01-14,'300919,中伟股份,,91.37,85.0,88.01,-1.87,-2.1248,5488983,478735854.7
2021-01-13,'300919,中伟股份,,92.26,87.05,86.69,1.32,1.5227,7833197,703356241.2
2021-01-12,'300919,中伟股份,,89.12,82.9,84.5,2.19,2.5917,6966674,603837687.99
2021-01-11,'300919,中伟股份,,97.0,97.0,95.86,-11.36,-11.8506,10928863,981175486.76
2021-01-08,'300919,中伟股份,,103.8,99.9,93.65,2.21,2.3599,9957202,973363319.2
2021-01-07,'300919,中伟股份,,96.5,90.1,90.37,3.28,3.6295,10165029,941475391.97
2021-01-06,'300919,中伟股份,,94.53,88.15,88.15,2.22,2.5184,10433787,934695553.8
2021-01-05,'300919,中伟股份,,92.77,91.0,93.6,-5.45,-5.8226,11487173,1027268292.9
2021-01-04,'300919,中伟股份,,97.0,86.88,81.72,11.88,14.5374,12145353,1098702659.06
2020-12-31,'300919,中伟股份,,82.4,72.93,75.18,6.54,8.6991,10393645,810563931.82
2020-12-30,'300919,中伟股份,,79.68,72.0,73.25,1.93,2.6348,9750420,749942656.09
2020-12-29,'300919,C中伟,,75.96,75.9,76.93,-3.68,-4.7836,11928953,860984647.57
2020-12-28,'300919,C中伟,,85.0,85.0,86.12,-9.19,-10.6712,14551810,1161524623.07
2020-12-25,'300919,C中伟,,87.3,78.5,82.88,3.24,3.9093,15745749,1308116612.11
2020-12-24,'300919,C中伟,,93.88,86.0,85.0,-2.12,-2.4941,21542962,1877846288.47
2020-12-23,'300919,N中伟,,88.88,76.1,24.6,60.4,245.5285,28741766,2347355651.46
