日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300250,初灵信息,,10.22,9.88,9.88,0.33,3.3401,2888900,29074203.0
2021-02-18,'300250,初灵信息,,9.98,9.66,9.57,0.31,3.2393,2600554,25620163.56
2021-02-10,'300250,初灵信息,,9.58,9.46,9.45,0.12,1.2698,2377697,22499412.7
2021-02-09,'300250,初灵信息,,9.55,9.5,9.5,-0.05,-0.5263,2411747,22705004.95
2021-02-08,'300250,初灵信息,,9.63,9.19,9.3,0.2,2.1505,3453759,32589692.97
2021-02-05,'300250,初灵信息,,10.1,9.69,9.67,-0.37,-3.8263,3996200,38438163.0
2021-02-04,'300250,初灵信息,,9.8,9.1,9.19,0.48,5.2231,4152598,38762316.86
2021-02-03,'300250,初灵信息,,9.52,9.51,9.52,-0.33,-3.4664,2694802,25100968.65
2021-02-02,'300250,初灵信息,,9.86,9.77,9.77,-0.25,-2.5589,3134214,30083465.98
2021-02-01,'300250,初灵信息,,9.86,9.6,9.86,-0.09,-0.9128,4260123,41057247.03
2021-01-29,'300250,初灵信息,,9.96,9.72,9.77,0.09,0.9212,6242208,60630502.34
2021-01-28,'300250,初灵信息,,10.26,8.88,9.29,0.48,5.1668,12283928,118437571.26
2021-01-27,'300250,初灵信息,,9.37,9.16,9.22,0.07,0.7592,1913724,17748840.8
2021-01-26,'300250,初灵信息,,9.5,9.39,9.34,-0.12,-1.2848,1955191,18208066.87
2021-01-25,'300250,初灵信息,,9.7,9.7,9.7,-0.36,-3.7113,2546000,23954886.99
2021-01-22,'300250,初灵信息,,10.02,9.94,9.95,-0.25,-2.5126,2528099,24624298.0
2021-01-21,'300250,初灵信息,,10.15,9.99,10.07,-0.12,-1.1917,2162782,21675698.72
2021-01-20,'300250,初灵信息,,10.28,10.16,10.15,-0.08,-0.7882,2692700,26993819.0
2021-01-19,'300250,初灵信息,,10.18,9.69,9.81,0.34,3.4659,3881300,38940951.01
2021-01-18,'300250,初灵信息,,9.83,9.38,9.45,0.36,3.8095,4162391,40172781.43
2021-01-15,'300250,初灵信息,,9.6,9.04,9.06,0.39,4.3046,4964504,46330984.74
2021-01-14,'300250,初灵信息,,9.2,9.03,9.01,0.05,0.5549,3027201,27542290.9
2021-01-13,'300250,初灵信息,,9.34,9.3,9.31,-0.3,-3.2223,4315708,39029650.57
2021-01-12,'300250,初灵信息,,9.64,9.38,9.29,0.02,0.2153,3584371,33735554.61
2021-01-11,'300250,初灵信息,,9.95,9.76,9.76,-0.47,-4.8156,4998643,47588612.86
2021-01-08,'300250,初灵信息,,10.1,9.65,9.76,0.0,0.0,4412697,43542040.54
2021-01-07,'300250,初灵信息,,10.31,10.31,10.31,-0.55,-5.3346,5434511,53619788.45
2021-01-06,'300250,初灵信息,,10.75,10.71,10.72,-0.41,-3.8246,3557190,36996187.05
2021-01-05,'300250,初灵信息,,10.87,10.75,10.77,-0.05,-0.4643,2777115,29742988.3
2021-01-04,'300250,初灵信息,,10.9,10.79,10.79,-0.02,-0.1854,2927215,31462888.1
2020-12-31,'300250,初灵信息,,10.86,10.5,10.5,0.29,2.7619,3323154,35708836.56
2020-12-30,'300250,初灵信息,,10.58,10.58,10.45,0.05,0.4785,3643599,38114094.55
2020-12-29,'300250,初灵信息,,10.72,10.22,10.18,0.27,2.6523,4769291,50056205.49
2020-12-28,'300250,初灵信息,,10.4,10.33,10.36,-0.18,-1.7375,3538698,36109598.71
2020-12-25,'300250,初灵信息,,10.55,10.3,10.19,0.17,1.6683,3307200,34369538.0
2020-12-24,'300250,初灵信息,,10.69,10.68,10.63,-0.44,-4.1392,4836049,49856197.58
2020-12-23,'300250,初灵信息,,10.78,10.59,10.58,0.05,0.4726,3870899,41170274.45
2020-12-22,'300250,初灵信息,,11.0,10.93,11.01,-0.43,-3.9055,5720603,61514689.24
2020-12-21,'300250,初灵信息,,11.24,10.94,11.04,-0.03,-0.2717,3494090,38721060.15
2020-12-18,'300250,初灵信息,,11.43,11.43,11.36,-0.32,-2.8169,3714735,41467699.85
2020-12-17,'300250,初灵信息,,11.45,11.3,11.2,0.16,1.4286,5806184,65209429.91
2020-12-16,'300250,初灵信息,,11.75,11.75,11.61,-0.41,-3.5314,3386298,38225432.44
2020-12-15,'300250,初灵信息,,11.91,11.84,11.81,-0.2,-1.6935,2526340,29587240.2
2020-12-14,'300250,初灵信息,,11.88,11.71,11.73,0.08,0.682,2095185,24634185.2
2020-12-11,'300250,初灵信息,,12.17,12.13,12.1,-0.37,-3.0579,4154311,48797110.29
2020-12-10,'300250,初灵信息,,12.25,12.11,12.09,0.01,0.0827,1911037,23165113.71
2020-12-09,'300250,初灵信息,,12.56,12.49,12.51,-0.42,-3.3573,3213182,39528649.23
2020-12-08,'300250,初灵信息,,12.7,12.68,12.82,-0.31,-2.4181,5767419,71851751.12
2020-12-07,'300250,初灵信息,,13.05,13.04,13.01,-0.19,-1.4604,2196530,28383752.3
2020-12-04,'300250,初灵信息,,13.11,13.08,13.06,-0.05,-0.3828,1649600,21494076.0
2020-12-03,'300250,初灵信息,,13.14,13.08,13.06,0.0,0.0,2204577,28780918.54
2020-12-02,'300250,初灵信息,,13.2,13.14,13.14,-0.08,-0.6088,2466662,32276040.01
2020-12-01,'300250,初灵信息,,13.18,12.95,12.95,0.19,1.4672,2625285,34414800.89
2020-11-30,'300250,初灵信息,,13.05,12.92,12.92,0.03,0.2322,2606284,33726114.41
2020-11-27,'300250,初灵信息,,13.18,13.04,13.09,-0.17,-1.2987,3368890,43630777.45
2020-11-26,'300250,初灵信息,,13.41,13.33,13.29,-0.2,-1.5049,2842687,37464346.17
2020-11-25,'300250,初灵信息,,13.54,13.41,13.38,-0.09,-0.6726,3643559,48517467.27
2020-11-24,'300250,初灵信息,,13.53,13.42,13.44,-0.06,-0.4464,2936758,39390962.3
2020-11-23,'300250,初灵信息,,13.87,13.87,13.88,-0.44,-3.17,5234387,70494286.21
2020-11-20,'300250,初灵信息,,13.96,13.72,13.69,0.19,1.3879,3603900,49867773.2
2020-11-19,'300250,初灵信息,,13.76,13.65,13.63,0.06,0.4402,3133993,42800977.17
2020-11-18,'300250,初灵信息,,13.77,13.65,13.65,-0.02,-0.1465,3048800,41521235.12
2020-11-17,'300250,初灵信息,,14.0,13.92,13.99,-0.34,-2.4303,4767902,64761629.92
2020-11-16,'300250,初灵信息,,14.44,14.44,14.36,-0.37,-2.5766,4185569,58660580.59
2020-11-13,'300250,初灵信息,,14.6,14.32,14.39,-0.03,-0.2085,3182379,45720477.75
2020-11-12,'300250,初灵信息,,15.08,14.88,14.83,-0.44,-2.967,4690600,68262891.0
2020-11-11,'300250,初灵信息,,15.23,15.23,15.16,-0.33,-2.1768,5178601,76837554.77
2020-11-10,'300250,初灵信息,,15.64,15.64,15.7,-0.54,-3.4395,6366600,97413556.0
2020-11-09,'300250,初灵信息,,15.74,15.25,15.12,0.58,3.836,10466100,163186019.0
2020-11-06,'300250,初灵信息,,15.68,15.68,15.61,-0.49,-3.139,7994283,122307992.67
2020-11-05,'300250,初灵信息,,15.76,15.62,15.53,0.08,0.5151,11366400,175989625.1
2020-11-04,'300250,初灵信息,,15.66,15.26,15.41,0.12,0.7787,10149372,156204110.4
2020-11-03,'300250,初灵信息,,15.61,15.19,15.14,0.27,1.7834,10655400,163154759.48
2020-11-02,'300250,初灵信息,,15.22,14.6,14.65,0.49,3.3447,7719528,115501495.2
