ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,TCLOSW,×î¸ß¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,³É½»Á¿,³É½»½ð¶î
2021-02-19,'300724,½Ý¼ÑÎ°´´,,116.47,112.9,112.98,0.59,0.5222,3459342,394982193.69
2021-02-18,'300724,½Ý¼ÑÎ°´´,,123.49,123.26,118.6,-5.62,-4.7386,4404848,511794331.79
2021-02-10,'300724,½Ý¼ÑÎ°´´,,122.52,122.3,120.0,-1.4,-1.1667,3601309,433355902.55
2021-02-09,'300724,½Ý¼ÑÎ°´´,,121.2,114.71,112.2,7.8,6.9519,4332720,515754454.34
2021-02-08,'300724,½Ý¼ÑÎ°´´,,119.0,117.22,118.66,-6.46,-5.4441,5640319,644153003.2
2021-02-05,'300724,½Ý¼ÑÎ°´´,,121.97,121.34,121.57,-2.91,-2.3937,3436663,407291143.08
2021-02-04,'300724,½Ý¼ÑÎ°´´,,123.5,118.45,120.5,1.07,0.888,3676433,447885590.76
2021-02-03,'300724,½Ý¼ÑÎ°´´,,131.97,129.25,129.72,-9.22,-7.1076,5090598,631946008.36
2021-02-02,'300724,½Ý¼ÑÎ°´´,,131.23,126.0,125.4,4.32,3.445,3979220,507192776.05
2021-02-01,'300724,½Ý¼ÑÎ°´´,,132.96,130.0,133.34,-7.94,-5.9547,4203538,537898547.64
2021-01-29,'300724,½Ý¼ÑÎ°´´,,137.56,133.73,132.2,1.14,0.8623,3753994,503613952.62
2021-01-28,'300724,½Ý¼ÑÎ°´´,,134.87,133.3,138.7,-6.5,-4.6864,3816240,505866126.27
2021-01-27,'300724,½Ý¼ÑÎ°´´,,140.0,139.95,138.66,0.04,0.0288,3258168,444599182.65
2021-01-26,'300724,½Ý¼ÑÎ°´´,,150.11,149.46,147.25,-8.59,-5.8336,4073832,578166774.88
2021-01-25,'300724,½Ý¼ÑÎ°´´,,155.4,145.11,145.11,2.14,1.4747,5750950,865853936.73
2021-01-22,'300724,½Ý¼ÑÎ°´´,,146.27,138.23,136.88,8.23,6.0126,4735435,676579349.59
2021-01-21,'300724,½Ý¼ÑÎ°´´,,139.36,136.53,136.5,0.38,0.2784,3431236,468278084.69
2021-01-20,'300724,½Ý¼ÑÎ°´´,,137.8,132.84,133.02,3.48,2.6161,3292051,444879855.87
2021-01-19,'300724,½Ý¼ÑÎ°´´,,140.13,137.38,138.38,-5.36,-3.8734,3128913,424997336.71
2021-01-18,'300724,½Ý¼ÑÎ°´´,,142.0,141.79,138.2,0.18,0.1302,2859965,396747536.96
2021-01-15,'300724,½Ý¼ÑÎ°´´,,139.9,135.59,134.0,4.2,3.1343,4452268,607794736.66
2021-01-14,'300724,½Ý¼ÑÎ°´´,,135.66,134.04,133.08,0.92,0.6913,3416455,454048779.62
2021-01-13,'300724,½Ý¼ÑÎ°´´,,137.79,131.0,131.51,1.57,1.1938,5342532,719444392.62
2021-01-12,'300724,½Ý¼ÑÎ°´´,,132.8,122.97,123.85,7.66,6.1849,6068709,784321888.39
2021-01-11,'300724,½Ý¼ÑÎ°´´,,130.1,130.1,130.0,-6.15,-4.7308,6365184,798086882.53
2021-01-08,'300724,½Ý¼ÑÎ°´´,,145.0,145.0,144.47,-14.47,-10.0159,7139215,941055298.16
2021-01-07,'300724,½Ý¼ÑÎ°´´,,147.8,139.8,138.79,5.68,4.0925,5887338,839949960.39
2021-01-06,'300724,½Ý¼ÑÎ°´´,,140.56,136.91,139.0,-0.21,-0.1511,4277978,593117152.04
2021-01-05,'300724,½Ý¼ÑÎ°´´,,148.0,148.0,148.05,-9.05,-6.1128,6133414,848604231.17
2021-01-04,'300724,½Ý¼ÑÎ°´´,,150.0,144.99,145.6,2.45,1.6827,5050816,742451142.07
2020-12-31,'300724,½Ý¼ÑÎ°´´,,146.95,141.01,138.0,7.6,5.5072,4604603,658777631.54
2020-12-30,'300724,½Ý¼ÑÎ°´´,,141.36,137.06,136.0,2.0,1.4706,3589663,499007515.15
2020-12-29,'300724,½Ý¼ÑÎ°´´,,145.0,145.0,146.38,-10.38,-7.0911,6103657,841162520.17
2020-12-28,'300724,½Ý¼ÑÎ°´´,,148.59,144.86,146.5,-0.12,-0.0819,3442845,500643034.32
2020-12-25,'300724,½Ý¼ÑÎ°´´,,148.5,141.56,143.23,3.27,2.283,3793316,549434747.49
2020-12-24,'300724,½Ý¼ÑÎ°´´,,148.0,142.03,146.15,-2.92,-1.9979,3887599,559591688.9
2020-12-23,'300724,½Ý¼ÑÎ°´´,,152.78,144.91,144.03,2.12,1.4719,5775570,849718768.04
2020-12-22,'300724,½Ý¼ÑÎ°´´,,149.63,148.5,152.8,-8.77,-5.7395,4768142,696127653.45
2020-12-21,'300724,½Ý¼ÑÎ°´´,,154.98,148.8,144.75,8.05,5.5613,4120080,622068142.58
2020-12-18,'300724,½Ý¼ÑÎ°´´,,157.0,157.0,156.88,-12.13,-7.732,5576818,830597063.83
2020-12-17,'300724,½Ý¼ÑÎ°´´,,157.0,148.9,149.02,7.86,5.2745,3328756,505370555.94
2020-12-16,'300724,½Ý¼ÑÎ°´´,,158.88,144.8,144.47,4.55,3.1494,3870035,583363044.71
2020-12-15,'300724,½Ý¼ÑÎ°´´,,146.6,143.54,144.0,0.47,0.3264,3625053,513870997.77
2020-12-14,'300724,½Ý¼ÑÎ°´´,,147.71,135.69,134.83,9.17,6.8012,3892303,550847786.06
2020-12-11,'300724,½Ý¼ÑÎ°´´,,140.0,137.3,138.45,-3.62,-2.6147,3822921,514123500.64
2020-12-10,'300724,½Ý¼ÑÎ°´´,,148.0,125.0,128.57,9.88,7.6845,4321088,585366043.32
2020-12-09,'300724,½Ý¼ÑÎ°´´,,133.29,124.74,124.78,3.79,3.0373,4148111,532390100.18
2020-12-08,'300724,½Ý¼ÑÎ°´´,,125.15,122.83,124.06,0.72,0.5804,2820671,348432305.77
2020-12-07,'300724,½Ý¼ÑÎ°´´,,124.48,121.54,121.5,2.56,2.107,2833344,348466505.52
2020-12-04,'300724,½Ý¼ÑÎ°´´,,124.22,111.11,112.88,8.62,7.6364,4453294,530002482.66
2020-12-03,'300724,½Ý¼ÑÎ°´´,,113.22,111.0,109.99,2.89,2.6275,2193236,244370610.45
2020-12-02,'300724,½Ý¼ÑÎ°´´,,111.2,107.72,109.18,0.81,0.7419,3483734,379576387.18
2020-12-01,'300724,½Ý¼ÑÎ°´´,,110.6,105.16,108.24,0.94,0.8684,4199455,454413117.8
2020-11-30,'300724,½Ý¼ÑÎ°´´,,109.77,107.16,107.73,0.51,0.4734,4206284,450293686.16
2020-11-27,'300724,½Ý¼ÑÎ°´´,,112.5,111.18,113.5,-5.77,-5.0837,2715799,294637884.66
2020-11-26,'300724,½Ý¼ÑÎ°´´,,115.58,115.0,112.28,1.22,1.0866,2621651,296179534.34
2020-11-25,'300724,½Ý¼ÑÎ°´´,,117.19,115.0,113.96,-1.68,-1.4742,2981522,338589406.49
2020-11-24,'300724,½Ý¼ÑÎ°´´,,117.97,114.36,114.2,-0.24,-0.2102,3562696,407953644.53
2020-11-23,'300724,½Ý¼ÑÎ°´´,,117.58,108.11,105.71,8.49,8.0314,6499451,742019573.32
2020-11-20,'300724,½Ý¼ÑÎ°´´,,106.86,99.0,98.57,7.14,7.2436,4192009,432018432.93
2020-11-19,'300724,½Ý¼ÑÎ°´´,,99.59,93.57,95.85,2.72,2.8378,4289117,413811774.21
2020-11-18,'300724,½Ý¼ÑÎ°´´,,102.86,98.26,95.93,-0.08,-0.0834,5257028,512938841.51
2020-11-17,'300724,½Ý¼ÑÎ°´´,,108.21,108.01,106.9,-10.97,-10.2619,4723299,470908050.56
2020-11-16,'300724,½Ý¼ÑÎ°´´,,110.8,110.0,112.15,-5.25,-4.6812,4398598,476551944.13
2020-11-13,'300724,½Ý¼ÑÎ°´´,,112.21,103.66,99.86,12.29,12.3072,7857121,851381385.17
2020-11-12,'300724,½Ý¼ÑÎ°´´,,102.51,99.02,98.59,1.27,1.2882,2576327,258789802.28
2020-11-11,'300724,½Ý¼ÑÎ°´´,,102.83,101.0,100.99,-2.4,-2.3765,2698887,271136164.15
2020-11-10,'300724,½Ý¼ÑÎ°´´,,103.43,103.4,103.44,-2.45,-2.3685,3331775,336411827.03
2020-11-09,'300724,½Ý¼ÑÎ°´´,,108.83,107.77,106.6,-3.16,-2.9644,4810426,498662723.67
2020-11-06,'300724,½Ý¼ÑÎ°´´,,114.2,110.81,111.26,-4.66,-4.1884,3053545,325842867.88
2020-11-05,'300724,½Ý¼ÑÎ°´´,,112.0,107.88,106.81,4.45,4.1663,3180361,345229301.74
2020-11-04,'300724,½Ý¼ÑÎ°´´,,113.63,112.51,113.18,-6.37,-5.6282,4320344,461288988.98
2020-11-03,'300724,½Ý¼ÑÎ°´´,,115.4,113.62,113.5,-0.32,-0.2819,2694695,304613495.71
2020-11-02,'300724,½Ý¼ÑÎ°´´,,115.47,100.3,99.87,13.63,13.6477,5092457,555650297.37
2020-10-30,'300724,½Ý¼ÑÎ°´´,,107.88,104.1,102.61,-2.74,-2.6703,3700397,383354840.34
2020-10-29,'300724,½Ý¼ÑÎ°´´,,104.23,102.9,104.9,-2.29,-2.183,3470154,354082035.28
2020-10-28,'300724,½Ý¼ÑÎ°´´,,105.86,103.0,100.81,4.09,4.0571,4049005,418384919.02
2020-10-27,'300724,½Ý¼ÑÎ°´´,,101.88,101.1,100.0,0.81,0.81,2860469,285162220.26
2020-10-26,'300724,½Ý¼ÑÎ°´´,,101.9,98.03,97.14,2.86,2.9442,3291439,327486082.35
2020-10-23,'300724,½Ý¼ÑÎ°´´,,103.98,102.57,103.1,-5.96,-5.7808,2054295,204010953.84
2020-10-22,'300724,½Ý¼ÑÎ°´´,,104.2,104.0,103.98,-0.88,-0.8463,2294267,235584673.15
2020-10-21,'300724,½Ý¼ÑÎ°´´,,112.21,112.01,110.0,-6.02,-5.4727,4823125,505471481.48
2020-10-20,'300724,½Ý¼ÑÎ°´´,,114.85,114.85,113.12,-3.12,-2.7581,2717162,296485716.27
2020-10-19,'300724,½Ý¼ÑÎ°´´,,116.98,115.91,114.2,-1.08,-0.9457,2377644,270901376.43
2020-10-16,'300724,½Ý¼ÑÎ°´´,,117.58,111.0,110.2,4.0,3.6298,2618829,298601788.25
