日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300893,松原股份,,37.12,35.5,35.73,1.27,3.5544,4062701,146705048.96
2021-02-18,'300893,松原股份,,36.13,34.43,34.39,1.34,3.8965,3695257,130711598.43
2021-02-10,'300893,松原股份,,36.73,33.34,33.6,0.79,2.3512,4839582,169927953.51
2021-02-09,'300893,松原股份,,35.66,35.52,33.83,-0.23,-0.6799,3670701,125264024.63
2021-02-08,'300893,松原股份,,36.99,36.0,36.0,-2.17,-6.0278,4548383,159538482.1
2021-02-05,'300893,松原股份,,40.88,40.61,38.36,-2.36,-6.1522,6697538,253285627.93
2021-02-04,'300893,松原股份,,38.36,31.62,31.97,6.39,19.9875,6959471,249264079.17
2021-02-03,'300893,松原股份,,33.31,32.68,33.49,-1.52,-4.5387,2545572,82404006.1
2021-02-02,'300893,松原股份,,36.28,35.83,35.97,-2.48,-6.8946,3885596,134981175.08
2021-02-01,'300893,松原股份,,35.97,34.13,34.26,1.71,4.9912,3779699,133699628.76
2021-01-29,'300893,松原股份,,35.1,33.5,34.41,-0.15,-0.4359,3309517,111749556.15
2021-01-28,'300893,松原股份,,35.9,33.97,34.2,0.21,0.614,3093995,107096405.94
2021-01-27,'300893,松原股份,,34.3,32.5,32.59,1.61,4.9402,2968817,98990074.23
2021-01-26,'300893,松原股份,,33.6,32.14,32.13,0.46,1.4317,2010300,65995152.94
2021-01-25,'300893,松原股份,,33.6,33.6,33.58,-1.45,-4.318,2488500,80956204.59
2021-01-22,'300893,松原股份,,35.3,34.87,35.0,-1.42,-4.0571,2648800,90257634.0
2021-01-21,'300893,松原股份,,35.72,34.92,36.14,-1.14,-3.1544,3437877,120495942.86
2021-01-20,'300893,松原股份,,38.48,35.72,35.77,0.37,1.0344,4165256,153908812.93
2021-01-19,'300893,松原股份,,36.99,35.34,34.8,0.97,2.7874,3762134,136038492.76
2021-01-18,'300893,松原股份,,36.44,35.6,35.51,-0.71,-1.9994,2830757,99872283.07
2021-01-15,'300893,松原股份,,37.28,33.3,33.32,2.19,6.5726,4767648,169528152.83
2021-01-14,'300893,松原股份,,33.86,32.6,32.63,0.69,2.1146,2695460,88291258.02
2021-01-13,'300893,松原股份,,34.98,34.23,34.18,-1.55,-4.5348,2625623,88356186.0
2021-01-12,'300893,松原股份,,34.75,33.78,33.9,0.28,0.826,2014972,68684768.32
2021-01-11,'300893,松原股份,,35.85,35.52,35.8,-1.9,-5.3073,2845262,98346186.12
2021-01-08,'300893,松原股份,,37.41,36.75,36.76,-0.96,-2.6115,2445576,89039979.44
2021-01-07,'300893,松原股份,,39.2,38.16,38.6,-1.84,-4.7668,3385443,126938190.16
2021-01-06,'300893,松原股份,,41.29,40.5,41.01,-2.41,-5.8766,3965049,156352212.3
2021-01-05,'300893,松原股份,,43.5,41.04,41.5,-0.49,-1.1807,5587365,233258919.45
2021-01-04,'300893,松原股份,,42.86,39.34,39.02,2.48,6.3557,4934298,202973524.8
2020-12-31,'300893,松原股份,,39.49,37.98,38.11,0.91,2.3878,2648421,103006791.89
2020-12-30,'300893,松原股份,,38.55,36.88,37.8,0.31,0.8201,2598062,97754018.14
2020-12-29,'300893,松原股份,,39.77,38.7,38.6,-0.8,-2.0725,2430760,94468153.42
2020-12-28,'300893,松原股份,,39.88,38.0,38.15,0.45,1.1796,2709678,105189542.22
