日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300428,四通新材,,12.87,12.59,12.41,0.45,3.6261,4061232,51434222.08
2021-02-18,'300428,四通新材,,12.72,12.12,11.68,0.73,6.25,4937560,61068384.0
2021-02-10,'300428,四通新材,,11.95,11.8,11.73,-0.05,-0.4263,2628500,30812224.36
2021-02-09,'300428,四通新材,,11.95,11.37,11.22,0.51,4.5455,3479560,40566705.8
2021-02-08,'300428,四通新材,,11.46,11.37,11.23,-0.01,-0.089,1810560,20418483.8
2021-02-05,'300428,四通新材,,11.9,11.5,11.57,-0.34,-2.9386,2299900,26435914.0
2021-02-04,'300428,四通新材,,11.82,11.61,11.67,-0.1,-0.8569,3758622,43014213.95
2021-02-03,'300428,四通新材,,12.11,12.11,12.16,-0.49,-4.0296,2979675,35383636.99
2021-02-02,'300428,四通新材,,12.17,11.85,11.85,0.31,2.616,2799220,33487497.0
2021-02-01,'300428,四通新材,,12.25,11.94,12.06,-0.21,-1.7413,2586604,30977044.88
2021-01-29,'300428,四通新材,,12.78,12.59,12.48,-0.42,-3.3654,4290361,52034104.27
2021-01-28,'300428,四通新材,,12.82,12.3,12.51,-0.03,-0.2398,2948500,37043369.18
2021-01-27,'300428,四通新材,,12.96,12.74,12.83,-0.32,-2.4942,3170782,40009345.82
2021-01-26,'300428,四通新材,,13.23,12.85,13.07,-0.24,-1.8363,2942296,38159072.96
2021-01-25,'300428,四通新材,,13.41,13.28,13.22,-0.15,-1.1346,4084073,53637383.72
2021-01-22,'300428,四通新材,,13.79,13.79,13.81,-0.59,-4.2723,6380846,85291936.85
2021-01-21,'300428,四通新材,,14.03,13.59,13.47,0.34,2.5241,7397747,101459004.03
2021-01-20,'300428,四通新材,,13.66,13.24,13.11,0.36,2.746,6053297,81108252.65
2021-01-19,'300428,四通新材,,13.3,13.01,13.04,0.07,0.5368,3066820,40234091.8
2021-01-18,'300428,四通新材,,13.19,12.78,12.9,0.14,1.0853,3478455,45317576.4
