日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300167,迪威迅,,4.0,3.73,3.74,0.25,6.6845,7491327,29202732.03
2021-02-18,'300167,迪威迅,,3.76,3.6,3.58,0.16,4.4693,3862827,14321147.44
2021-02-10,'300167,迪威迅,,3.67,3.63,3.6,-0.02,-0.5556,3412800,12325941.0
2021-02-09,'300167,迪威迅,,3.63,3.47,3.53,0.07,1.983,4233200,15063696.0
2021-02-08,'300167,迪威迅,,3.61,3.59,3.55,-0.02,-0.5634,3191400,11300496.0
2021-02-05,'300167,迪威迅,,3.73,3.63,3.63,-0.08,-2.2039,3670800,13360965.0
2021-02-04,'300167,迪威迅,,3.78,3.78,3.79,-0.16,-4.2216,4996700,18269828.0
2021-02-03,'300167,迪威迅,,3.9,3.87,3.9,-0.11,-2.8205,3466700,13202920.0
2021-02-02,'300167,迪威迅,,3.92,3.87,3.84,0.06,1.5625,4762900,18410148.0
2021-02-01,'300167,迪威迅,,4.02,3.88,3.98,-0.14,-3.5176,6184002,24050088.76
2021-01-29,'300167,迪威迅,,4.06,4.04,4.03,-0.05,-1.2407,7379802,29421639.96
2021-01-28,'300167,迪威迅,,4.13,3.91,3.94,0.09,2.2843,8638500,34947945.0
2021-01-27,'300167,迪威迅,,3.99,3.96,3.96,-0.02,-0.5051,4505700,17743536.0
2021-01-26,'300167,迪威迅,,4.07,4.02,3.98,-0.02,-0.5025,5137201,20481646.95
2021-01-25,'300167,迪威迅,,4.16,4.12,4.14,-0.16,-3.8647,5397900,21713476.0
2021-01-22,'300167,迪威迅,,4.35,4.28,4.28,-0.14,-3.271,5983902,25265375.82
2021-01-21,'300167,迪威迅,,4.38,4.31,4.33,-0.05,-1.1547,6081761,26274264.08
2021-01-20,'300167,迪威迅,,4.37,4.27,4.28,0.05,1.1682,6599661,28381167.91
2021-01-19,'300167,迪威迅,,4.33,4.19,4.19,0.09,2.148,7432449,31649091.74
2021-01-18,'300167,迪威迅,,4.21,4.05,4.06,0.13,3.202,6530249,27232392.82
2021-01-15,'300167,迪威迅,,4.14,3.89,3.91,0.15,3.8363,7843475,31731847.75
2021-01-14,'300167,迪威迅,,4.0,3.9,3.95,-0.04,-1.0127,6431700,25144133.0
2021-01-13,'300167,迪威迅,,4.1,4.07,4.07,-0.12,-2.9484,8306400,32846585.0
2021-01-12,'300167,迪威迅,,4.22,4.09,4.1,-0.03,-0.7317,6844181,28093753.1
2021-01-11,'300167,迪威迅,,4.33,4.28,4.28,-0.18,-4.2056,7625766,31683632.94
2021-01-08,'300167,迪威迅,,4.47,4.31,4.36,-0.08,-1.8349,10670500,46401602.0
2021-01-07,'300167,迪威迅,,4.62,4.57,4.6,-0.24,-5.2174,11668211,51396434.44
2021-01-06,'300167,迪威迅,,4.85,4.85,4.82,-0.22,-4.5643,8594632,39963768.28
2021-01-05,'300167,迪威迅,,4.95,4.94,4.95,-0.13,-2.6263,5927600,28732550.0
2021-01-04,'300167,迪威迅,,4.96,4.89,4.88,0.07,1.4344,5923003,29089567.52
2020-12-31,'300167,迪威迅,,4.98,4.88,4.9,-0.02,-0.4082,6449003,31664398.07
2020-12-30,'300167,迪威迅,,4.94,4.85,4.81,0.09,1.8711,5104600,24871985.0
2020-12-29,'300167,迪威迅,,4.96,4.9,4.8,0.01,0.2083,7329900,35726187.97
2020-12-28,'300167,迪威迅,,4.95,4.95,4.9,-0.1,-2.0408,6417265,30812889.9
2020-12-25,'300167,迪威迅,,5.03,4.89,4.83,0.07,1.4493,7209400,35592291.0
2020-12-24,'300167,迪威迅,,5.14,5.14,5.1,-0.27,-5.2941,10112343,49814278.27
2020-12-23,'300167,迪威迅,,5.2,5.13,5.08,0.02,0.3937,5987310,30652151.0
2020-12-22,'300167,迪威迅,,5.26,5.26,5.22,-0.14,-2.682,7165410,36778526.9
2020-12-21,'300167,迪威迅,,5.34,5.17,5.21,0.01,0.1919,6469310,33973465.3
2020-12-18,'300167,迪威迅,,5.4,5.35,5.36,-0.15,-2.7985,9671700,50985456.0
2020-12-17,'300167,迪威迅,,5.41,5.22,5.21,0.15,2.8791,11755500,61616454.0
2020-12-16,'300167,迪威迅,,5.51,5.48,5.52,-0.31,-5.6159,11048902,58597574.68
2020-12-15,'300167,迪威迅,,5.65,5.56,5.56,-0.04,-0.7194,6621600,36747120.0
2020-12-14,'300167,迪威迅,,5.61,5.42,5.46,0.1,1.8315,8761165,48404390.8
2020-12-11,'300167,迪威迅,,5.74,5.72,5.68,-0.22,-3.8732,12919100,71133486.0
2020-12-10,'300167,迪威迅,,5.81,5.67,5.69,-0.01,-0.1757,8241300,47245410.0
2020-12-09,'300167,迪威迅,,5.99,5.98,6.01,-0.32,-5.3245,13810800,80271480.97
2020-12-08,'300167,迪威迅,,6.13,6.01,5.99,0.02,0.3339,9400200,56877898.68
2020-12-07,'300167,迪威迅,,6.28,6.28,6.24,-0.25,-4.0064,14522661,88360800.99
2020-12-04,'300167,迪威迅,,6.39,6.3,6.36,-0.12,-1.8868,14076426,88104894.82
2020-12-03,'300167,迪威迅,,6.6,6.6,6.74,-0.38,-5.638,24462661,155818848.79
2020-12-02,'300167,迪威迅,,7.11,7.01,7.08,-0.34,-4.8023,26588101,181202440.83
2020-12-01,'300167,迪威迅,,7.23,6.8,6.82,0.26,3.8123,29958848,211145347.41
2020-11-30,'300167,迪威迅,,6.96,6.95,6.93,-0.11,-1.5873,19411366,132322989.38
2020-11-27,'300167,迪威迅,,7.3,7.11,7.11,-0.18,-2.5316,28093700,195338026.0
2020-11-26,'300167,迪威迅,,7.52,6.6,6.63,0.48,7.2398,45933803,325543807.68
2020-11-25,'300167,迪威迅,,6.85,6.85,6.92,-0.29,-4.1908,19838900,132090103.0
2020-11-24,'300167,迪威迅,,7.04,7.04,6.99,-0.07,-1.0014,22158200,151237066.0
2020-11-23,'300167,迪威迅,,7.17,6.74,6.82,0.17,2.4927,30182003,206506269.57
2020-11-20,'300167,迪威迅,,6.97,6.75,6.68,0.14,2.0958,31225575,211098630.0
2020-11-19,'300167,迪威迅,,6.75,6.38,6.63,0.05,0.7541,37236451,241839547.45
2020-11-18,'300167,迪威迅,,7.18,6.01,5.98,0.65,10.8696,48350775,325348872.14
2020-11-17,'300167,迪威迅,,6.45,6.42,6.38,-0.4,-6.2696,13543500,81906313.5
2020-11-16,'300167,迪威迅,,6.65,6.57,6.65,-0.27,-4.0602,12648200,80698270.0
2020-11-13,'300167,迪威迅,,6.74,6.74,6.77,-0.12,-1.7725,16416300,107018781.0
2020-11-12,'300167,迪威迅,,6.97,6.45,6.46,0.31,4.7988,21752161,145272263.94
2020-11-11,'300167,迪威迅,,6.76,6.6,6.69,-0.23,-3.438,8934809,58285130.92
2020-11-10,'300167,迪威迅,,6.78,6.59,6.65,0.04,0.6015,11203000,74459239.0
2020-11-09,'300167,迪威迅,,6.65,6.38,6.37,0.28,4.3956,12108976,79339260.05
2020-11-06,'300167,迪威迅,,6.61,6.5,6.44,-0.07,-1.087,11615601,74431850.34
2020-11-05,'300167,迪威迅,,6.49,6.29,6.21,0.23,3.7037,13104500,83184625.5
2020-11-04,'300167,迪威迅,,6.27,6.23,6.16,0.05,0.8117,9133300,56238821.0
2020-11-03,'300167,迪威迅,,6.3,5.89,5.9,0.26,4.4068,11529422,70693565.51
2020-11-02,'300167,迪威迅,,6.09,5.8,5.81,0.09,1.5491,10434875,61642056.75
2020-10-30,'300167,迪威迅,,6.5,6.49,6.44,-0.63,-9.7826,17884500,108607612.0
2020-10-29,'300167,迪威迅,,6.53,6.29,6.55,-0.11,-1.6794,11338847,72337393.68
2020-10-28,'300167,迪威迅,,6.66,6.6,6.66,-0.11,-1.6517,11413308,73956299.81
2020-10-27,'300167,迪威迅,,6.86,6.86,6.88,-0.22,-3.1977,12574547,84369053.6
2020-10-26,'300167,迪威迅,,6.94,6.49,6.5,0.38,5.8462,19354900,130480705.0
2020-10-23,'300167,迪威迅,,6.82,6.57,6.66,-0.16,-2.4024,12925900,85961397.0
2020-10-22,'300167,迪威迅,,6.69,6.57,6.57,0.09,1.3699,12645000,83006046.0
