日期,股票代码,名称,TCLOSW,最高价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-19,'300835,龙磁科技,,50.96,49.39,49.63,0.84,1.6925,1177300,58954800.32
2021-02-18,'300835,龙磁科技,,50.73,49.3,47.99,1.64,3.4174,1261900,62969683.0
2021-02-10,'300835,龙磁科技,,49.33,48.09,47.87,0.12,0.2507,1053200,50666478.0
2021-02-09,'300835,龙磁科技,,49.09,46.04,46.46,1.41,3.0349,1207903,57994058.0
2021-02-08,'300835,龙磁科技,,47.85,46.01,47.24,-0.78,-1.6511,948200,43937794.0
2021-02-05,'300835,龙磁科技,,52.16,52.16,50.93,-3.69,-7.2452,1907800,92993098.28
2021-02-04,'300835,龙磁科技,,53.83,52.83,53.0,-2.07,-3.9057,2399089,123832362.5
2021-02-03,'300835,龙磁科技,,57.73,51.99,53.1,-0.1,-0.1883,3849450,211494216.96
2021-02-02,'300835,龙磁科技,,53.5,48.88,47.99,5.11,10.6481,2476802,127038007.3
2021-02-01,'300835,龙磁科技,,48.19,46.79,47.05,0.94,1.9979,865500,40976130.9
2021-01-29,'300835,龙磁科技,,49.52,48.25,48.0,-0.95,-1.9792,995600,47512395.0
2021-01-28,'300835,龙磁科技,,50.59,48.39,48.85,-0.85,-1.74,974600,47913271.0
2021-01-27,'300835,龙磁科技,,52.2,52.2,52.33,-3.48,-6.6501,1631800,80829909.0
2021-01-26,'300835,龙磁科技,,53.5,50.61,51.04,1.29,2.5274,1775819,91690698.86
2021-01-25,'300835,龙磁科技,,54.66,52.93,52.92,-1.88,-3.5525,1761729,92017018.45
2021-01-22,'300835,龙磁科技,,56.5,56.3,56.7,-3.78,-6.6667,3016565,162246223.22
2021-01-21,'300835,龙磁科技,,59.59,55.32,55.35,1.35,2.439,3984436,227291129.45
2021-01-20,'300835,龙磁科技,,56.2,52.8,52.04,3.31,6.3605,3187791,172622188.37
2021-01-19,'300835,龙磁科技,,53.3,51.51,53.9,-1.86,-3.4508,2379100,123645768.0
2021-01-18,'300835,龙磁科技,,56.8,49.3,47.44,6.46,13.6172,3088400,163077129.0
2021-01-15,'300835,龙磁科技,,48.13,45.0,45.51,1.93,4.2408,1464162,68710864.16
2021-01-14,'300835,龙磁科技,,46.48,45.59,46.08,-0.57,-1.237,1086500,48889579.0
2021-01-13,'300835,龙磁科技,,47.98,44.0,45.2,0.88,1.9469,1382962,64205291.1
2021-01-12,'300835,龙磁科技,,47.15,46.03,46.61,-1.41,-3.0251,1142500,52235198.0
2021-01-11,'300835,龙磁科技,,48.91,46.49,46.6,0.01,0.0215,1141800,54079882.0
2021-01-08,'300835,龙磁科技,,48.64,48.01,48.01,-1.41,-2.9369,1131819,53126313.64
2021-01-07,'300835,龙磁科技,,50.3,49.25,50.0,-1.99,-3.98,1133700,55574518.0
2021-01-06,'300835,龙磁科技,,52.39,52.11,52.11,-2.11,-4.0491,1225800,62032476.7
2021-01-05,'300835,龙磁科技,,53.7,50.97,51.18,0.93,1.8171,1605900,83082196.5
2021-01-04,'300835,龙磁科技,,51.86,49.6,49.6,1.58,3.1855,1091196,55650605.96
2020-12-31,'300835,龙磁科技,,50.46,49.13,49.15,0.45,0.9156,811305,40372211.0
2020-12-30,'300835,龙磁科技,,50.49,49.4,49.19,-0.04,-0.0813,928800,45847381.0
2020-12-29,'300835,龙磁科技,,50.82,50.6,50.55,-1.36,-2.6904,1118640,55623821.0
2020-12-28,'300835,龙磁科技,,53.79,53.79,53.42,-2.87,-5.3725,1195000,61503154.0
2020-12-25,'300835,龙磁科技,,53.9,52.0,52.9,0.52,0.983,910900,48261890.0
2020-12-24,'300835,龙磁科技,,55.08,54.09,54.2,-1.3,-2.3985,976100,52400227.0
2020-12-23,'300835,龙磁科技,,55.46,53.0,53.1,1.1,2.0716,1355000,73624599.0
2020-12-22,'300835,龙磁科技,,56.95,56.58,56.87,-3.77,-6.6292,1638500,89380770.05
2020-12-21,'300835,龙磁科技,,58.09,57.51,57.53,-0.66,-1.1472,1223740,70086174.4
2020-12-18,'300835,龙磁科技,,59.2,56.7,57.29,0.24,0.4189,2006429,115014267.99
2020-12-17,'300835,龙磁科技,,57.98,55.05,55.12,2.17,3.9369,2098099,118628865.54
2020-12-16,'300835,龙磁科技,,55.28,54.94,54.61,0.51,0.9339,1158029,62818330.96
2020-12-15,'300835,龙磁科技,,56.24,55.3,55.29,-0.68,-1.2299,1036900,57154786.0
2020-12-14,'300835,龙磁科技,,55.59,54.3,55.01,0.28,0.509,1072200,58751981.0
2020-12-11,'300835,龙磁科技,,58.25,57.8,57.37,-2.36,-4.1136,1803370,101256882.8
2020-12-10,'300835,龙磁科技,,60.97,60.4,61.62,-4.25,-6.8971,2482850,143970199.0
2020-12-09,'300835,龙磁科技,,63.0,61.54,61.24,0.38,0.6205,1727500,107354864.0
2020-12-08,'300835,龙磁科技,,61.94,61.0,61.57,-0.33,-0.536,1347500,82346154.0
2020-12-07,'300835,龙磁科技,,63.88,62.43,63.31,-1.74,-2.7484,1525500,95819406.01
2020-12-04,'300835,龙磁科技,,64.15,62.27,62.27,1.04,1.6701,1719999,108548463.02
2020-12-03,'300835,龙磁科技,,62.9,62.7,62.78,-0.51,-0.8124,1826400,113009343.0
2020-12-02,'300835,龙磁科技,,65.3,64.0,65.08,-2.3,-3.5341,2404600,153289078.0
2020-12-01,'300835,龙磁科技,,66.6,64.22,64.79,0.29,0.4476,2888303,184876692.5
2020-11-30,'300835,龙磁科技,,70.55,68.0,69.0,-4.21,-6.1014,3130119,212613881.01
2020-11-27,'300835,龙磁科技,,72.17,71.55,73.0,-4.0,-5.4795,2924309,204869012.84
2020-11-26,'300835,龙磁科技,,74.1,71.0,70.86,2.14,3.02,4359778,311354760.04
2020-11-25,'300835,龙磁科技,,75.63,72.1,74.35,-3.49,-4.694,5551509,404091704.97
2020-11-24,'300835,龙磁科技,,77.0,67.52,68.81,5.54,8.0512,6880006,501377314.4
2020-11-23,'300835,龙磁科技,,72.53,68.02,67.99,0.82,1.2061,4832000,339711949.0
2020-11-20,'300835,龙磁科技,,69.66,65.7,66.15,1.84,2.7816,3416400,230290166.0
2020-11-19,'300835,龙磁科技,,69.3,67.38,69.0,-2.85,-4.1304,3045448,203573769.06
2020-11-18,'300835,龙磁科技,,70.87,64.07,64.91,4.09,6.301,4218519,279765460.8
2020-11-17,'300835,龙磁科技,,69.19,68.4,70.91,-6.0,-8.4614,4756448,316840227.33
2020-11-16,'300835,龙磁科技,,73.48,67.26,69.97,0.94,1.3434,5708171,400476541.95
2020-11-13,'300835,龙磁科技,,76.58,64.96,66.12,3.85,5.8227,6650720,469795753.06
2020-11-12,'300835,龙磁科技,,66.18,64.67,65.96,0.16,0.2426,3391559,217847216.52
2020-11-11,'300835,龙磁科技,,67.99,62.8,63.82,2.14,3.3532,4502579,294336708.93
2020-11-10,'300835,龙磁科技,,67.0,66.99,67.0,-3.18,-4.7463,3729112,236049341.9
2020-11-09,'300835,龙磁科技,,69.7,63.22,64.85,2.15,3.3153,5339494,353853205.6
2020-11-06,'300835,龙磁科技,,68.37,63.6,62.03,2.82,4.5462,6038124,394653037.5
2020-11-05,'300835,龙磁科技,,65.6,61.66,64.5,-2.47,-3.8295,4495880,282348506.67
2020-11-04,'300835,龙磁科技,,69.88,69.06,63.31,1.19,1.8796,7354669,486876531.38
